#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Snowman","Sia",105,3B,52,2021-12-03,02:45,79,"","Everyday Is Christmas (Deluxe Edition)",2018-11-01,72,43,0,34,0,0,-6,C♯/D♭ Major,3,7uoFMmxln0GPXQ0AcCBXRq,USAT21704212
2,"Driving Home for Christmas","Chris Rea",180,11B,66,2021-12-03,04:00,60,"christmas","The Works",2007-11-10,50,33,0,89,0,20,-9,A Major,4,3Z3QhZAZpqwZa1phsbQ3JZ,GBAHS9904091
3,"Hopelessly Devoted to You","Marlisa",111,10A,65,2021-12-04,02:58,35,"","Marlisa",2014-11-07,57,6,0,42,0,0,-3,B Minor,4,3LdsdgpPbIwMLOMykrhVAb,AUBM01400714
4,"A Winter's Tale","David Essex",98,7B,51,2021-12-19,04:10,15,"glam rock","With Love From ... PolyGram 50th Anniversary",2020-08-21,60,40,0,44,0,10,-11,F Major,4,77zmQj6FTC4zrxjgD6eASY,GBF088200870
5,"Cold December Night","Michael Bublé",84,5B,70,2021-12-30,03:18,1,"christmas","Christmas (Deluxe Special Edition)",2012-11-09,52,1,0,41,0,0,-7,D#/E♭ Major,4,23EvkivHtoFgkSK5pckvwq,USRE11100711
6,"Last Christmas","Wham!",108,10B,48,2021-12-30,04:22,76,"christmas","LAST CHRISTMAS",1984-11-29,74,19,0,95,0,30,-12,D Major,4,2FRnf9qhLbvw8fu4IBXx78,GBBBM8400019
7,"You'll Never Find Another Love Like Mine - Kenny Summit, Frankie Knuckles & Eric Kupper Remix","Lou Rawls,Kenny Summit,Frankie Knuckles,Eric Kupper",120,11A,88,2022-01-01,07:40,34,"philly soul, classic soul, soul blues, chicago house, acid house, disco house, funky house","Paradise Garage: Inspirations",2018-10-12,76,1,49,76,0,0,-7,F#/G♭ Minor,4,1VJ5jakRFPjbVUJc0BMX6o,DEY471815083
8,"Runaway","Jess Ray",133,4B,34,2022-05-13,05:23,44,"christian folk, christian alternative rock","Sentimental Creatures",2015-05-12,35,61,0,35,0,10,-9,G#/A♭ Major,4,6nUnSrRMfzW6j794PLlJN4,QM7PU1450097
9,"Sufficient For Me","Jonathan Ogden",134,3B,32,2022-05-13,04:44,0,"Christian lo-fi, christian folk, christian alternative rock, christian r&b, Christian jazz, worship, christian","Songs from Home",2021-04-02,59,75,0,21,0,0,-13,C♯/D♭ Major,4,3paL7myyCY6cxA0mYyZBdH,QZFZ32174083
10,"Glimpse of Us","Joji",170,4B,32,2022-07-21,03:53,7,"","Glimpse of Us",2022-06-10,44,89,0,27,0,10,-9,G#/A♭ Major,3,6xGruZOHLs39ZbVccQTuPZ,USWB12201789
11,"Wind","prm.",125,7B,9,2022-07-29,01:20,0,"","Wind",2020-05-20,27,99,94,49,0,0,-29,F Major,5,0kXLIhoQaTtBDKBp1jTbwW,QZES82014733
12,"Autumn Comes","David Gramberg,Mary Lou",82,9B,65,2022-10-16,03:10,48,"","Autumn Comes",2018-11-30,67,67,1,33,0,10,-11,G Major,4,5bDHKNRIkW2sx8p3pLUhGp,QMEU31820818
13,"All I Have to Give","Hurts",127,11B,24,2022-10-25,03:52,30,"","Faith",2020-09-04,61,75,0,20,0,10,-11,A Major,4,3gTn9zhKLSP4PBsWYII82B,QM6N22054862
14,"Atlantis","Seafret",166,1A,48,2022-11-13,03:49,81,"","Tell Me It's Real (Expanded Edition)",2016-01-29,40,5,0,21,0,10,-8,G#/A♭ Minor,4,1Fid2jjqsHViMX6xNH70hE,GBARL1500316
15,"Make it Feel Like Christmas","Simon Tellier,Victoria Hills",184,9B,46,2022-11-27,04:03,18,"","Christmas Holiday Pop",2021-09-28,61,6,0,53,0,10,-6,G Major,3,2sK5nGwOhAPwRiKt66VJUe,GBFPN2159403
16,"I Can't Wait For Christmas","Mindi Abair,Vincent Ingala,Lindsey Webster,Adam Hawley",115,10A,63,2022-12-04,03:41,0,"smooth jazz, jazz funk, funk rock, jazz, cool jazz, vocal jazz","I Can't Wait For Christmas",2022-11-25,78,61,0,45,0,0,-6,B Minor,4,5zurDe0HODuOYu6gcFFpWI,QZ8VM2200002
17,"Unspoken","El Porto",90,5A,56,2022-12-20,02:29,0,"","Joy",2021-09-03,63,78,12,59,0,10,-8,C Minor,5,7xYvAqoYUUyPub0TxKen2T,QZMEM2147662
18,"Just the Two of Us (feat. Bill Withers)","Grover Washington, Jr.,Bill Withers",96,3A,50,2023-01-04,07:18,75,"soul jazz, smooth jazz, soul","Anthology",1985-00-00,75,41,5,59,10,0,-13,A#/B♭ Minor,4,1ko2lVN0vKGUl9zrU0qSlT,USEE19901162
19,"Mr. Forgettable","David Kushner",145,1A,41,2023-03-16,03:07,1,"","Mr. Forgettable",2022-03-04,56,54,0,28,0,10,-9,G#/A♭ Minor,4,39ZVkOVxjG8ypNdUSVNkxU,QZD5H2000390
20,"Söylenmemiş","Aytekin Ataş",148,6A,57,2023-07-01,03:45,27,"karadeniz folk, oyun havasi","Çok Zaman Oldu",2018-05-11,56,37,0,41,0,10,-9,G Minor,4,6PQJ0zaRAOyzHAFC0z97Dw,TRAIE1800006
21,"Söylenmemiş (Unspoken)","Aytekin Ataş",148,6A,55,2023-07-01,03:00,18,"karadeniz folk, oyun havasi","Tamam Mıyız? (Orijinal Film Müzikleri)",2013-12-09,66,81,1,47,0,10,-9,G Minor,4,1HS7TJ6jsP3dod5yiTowpB,TRAIE1300062
22,"bye bye","Oscar Anton",80,8B,49,2023-07-22,03:18,40,"french indie pop, french pop","Home of Sanity (the playlist)",2021-03-26,73,34,45,61,0,50,-9,C Major,4,12bz9ZB91ONuwiZt1NaUMK,UKRLR2000064
23,"Lonely This Christmas","Mud",99,8B,33,2023-11-26,03:33,54,"glam rock, christmas","A's, B's And Rarities",2005-12-20,55,81,0,50,0,10,-14,C Major,3,5DMItYJluCFc7YtFdP4aXo,GBAYE7400041
24,"Christmas in Your Heart (From the Netflix Film  The Noel Diary )","AJ Wells",108,10A,53,2023-12-04,02:54,13,"","Christmas in Your Heart (From the Netflix Film  The Noel Diary )",2022-11-10,34,68,0,29,0,30,-9,B Minor,3,1ZyAhjId5ap7NYl3zKgYSh,USBAE2296603
25,"The Christmas Song (Merry Christmas To You)","Nat King Cole",73,2B,21,2023-12-13,03:12,65,"christmas, adult standards, vocal jazz","The Christmas Song (Expanded Edition)",2018-09-21,32,92,0,21,0,10,-15,F#/G♭ Major,5,4PS1e8f2LvuTFgUs1Cn3ON,USCA29900551
26,"Fall in Love With Me on Christmas","Josh Kelley",128,11B,33,2023-12-17,02:46,6,"","Fall in Love With Me on Christmas",2008-11-28,71,44,0,65,0,20,-16,A Major,4,6d3iTEuN6OdEDzlf2vBZsY,USTC70850575
27,"I Will Follow You","Ricky Nelson",121,8B,44,2023-12-20,02:26,61,"rockabilly, doo-wop","For Your Sweet Love",1963-01-01,67,76,0,75,0,10,-12,C Major,4,4Y6pdMS2PwGshq1MYcJ9fC,USUM71511142
28,"Сніг","Iryna Bilyk",128,9A,60,2024-01-11,04:19,29,"","Сніг",2023-12-24,68,58,0,23,0,10,-7,E Minor,4,6oU8h1SXYCisJWsHeruCe4,UAMM12300028
29,"Сніг вже падає","OSTY",113,6A,68,2024-01-11,03:02,0,"","Свято",2023-12-06,72,11,0,51,0,30,-7,G Minor,4,0CcOjSW4FHcbKK5SiGvqRT,QMFMG2319267
30,"I Think I Like When It Rains","WILLIS",124,11B,46,2024-05-24,04:38,3,"","Locals 2",2017-06-12,62,4,0,27,0,10,-7,A Major,4,1A3tuE6ti9qoZDwB3LB0t2,QMAAK1724976
31,"Someone Like You","Mike Francis",138,11B,36,2024-05-30,05:10,9,"","Collected",2011-09-16,49,87,1,4,0,0,-11,A Major,4,5pejS4czm1jmONCm8Btwb0,DEGE91100108
32,"Summer Breeze","Mike Francis",146,10A,44,2024-05-31,04:18,9,"","Collected",2011-09-16,71,79,8,47,0,10,-10,B Minor,4,4aw8sVAdshdn2WwdUEmAbk,DEGE91100107
33,"Spring Snow","10CM",111,11B,36,2024-06-13,03:21,69,"k-ballad, soundtrack","Lovely Runner, Pt. 8 (Original Soundtrack)",2024-05-14,51,81,0,19,0,10,-8,A Major,3,0tCr7DoUBSdtdSl0rxZmct,KRA492400665
34,"Sudden Shower - Instrumental","ECLIPSE",134,8B,42,2024-06-13,03:53,34,"k-ballad, soundtrack","Lovely Runner, Pt. 1 (Original Soundtrack)",2024-04-08,57,18,75,24,0,10,-10,C Major,4,62cLkk9TlbqeZpO05Nnt6O,KRA492400568
35,"Chances","Five For Fighting",164,6B,80,2024-06-26,03:35,29,"","90s Band",2021-04-30,40,2,0,33,0,20,-6,A#/B♭ Major,4,0a65nwUt57oHGYdnTda8SZ,USSM10904075
36,"Sudden Shower","ECLIPSE",133,8B,51,2024-06-26,03:53,70,"k-ballad, soundtrack","Lovely Runner, Pt. 1 (Original Soundtrack)",2024-04-08,47,59,0,22,0,10,-6,C Major,4,1OhIn0L6iofnk5bjalWfHq,KRA492400564
37,"Used To Be Young","Miley Cyrus",147,12B,63,2024-07-23,03:11,69,"","Endless Summer Vacation",2023-08-18,63,58,0,42,0,10,-4,E Major,4,41WQUSINanQHfhfKpFDsms,USSM12306461
38,"I Shall Be Released","Kirk Ross",128,12B,40,2024-08-03,04:34,26,"","I Shall Be Released",2016-06-23,62,50,0,26,0,0,-10,E Major,4,1mpLjhNRBf1GYXQKPzXvmi,USTZW1600013
39,"Caprice","Faylasuf",102,10B,43,2024-09-29,01:39,2,"tropical house","Caprice",2024-09-27,86,83,75,35,0,0,-6,D Major,4,6azYA7AktELRA63kZd7wRG,FR9W12444786
40,"Present Without A Bow","Kacey Musgraves,Leon Bridges",76,6B,49,2024-10-01,03:50,8,"retro soul","Christmas 2026",2024-05-22,69,56,0,60,0,10,-7,A#/B♭ Major,4,0pGQohVUBJ9hzzjQtGK2nH,USUM71607473
41,"Maybe My Soulmate Died","iamnotshane",96,8B,49,2024-10-25,01:54,0,"pop singer-songwriter","Maybe My Soulmate Died",2022-06-15,61,8,0,50,20,10,-10,C Major,4,5NBCTiyU4o57c3ClTFI3Wk,GBKPL2298438
42,"I Think They Call This Love","Elliot James Reay",105,5A,56,2024-10-30,03:13,0,"","I Think They Call This Love",2024-07-17,68,66,0,49,0,10,-5,C Minor,3,6ezlyxouJ9WcHU8WdtHlgk,UKW3Z2402037
43,"Blue Over You","Mason Ramsey",175,5B,24,2024-10-30,04:06,50,"country","I'll See You In My Dreams",2024-09-20,37,92,1,24,0,10,-11,D#/E♭ Major,3,4eirfucQkOubIOr2Zt17RE,USAT22401436
44,"A Lot More Free","Max McNown",143,3B,28,2024-10-31,03:18,70,"","A Lot More Free",2023-08-25,47,20,0,31,0,0,-9,C♯/D♭ Major,4,0duALa6UlxVWqEqpmhv73p,QMGVJ2300156
45,"Marionette","L.C. Franke",74,11B,43,2024-11-14,03:38,1,"traditional country","Still In Bloom",2024-07-19,19,64,0,27,0,10,-9,A Major,4,2iJCMDD1e80x5kOxMxWVi2,QM6P42409402
46,"All Of You","Sammy Davis Jr.",143,3B,36,2024-11-14,02:44,50,"big band, swing music, adult standards, vocal jazz","The Decca Years",1990-01-01,39,72,0,40,0,0,-11,C♯/D♭ Major,4,7EzyFflNHxgRyC6GCVfu5m,USMC15446725
47,"Glittery (feat. Troye Sivan) - From The Kacey Musgraves Christmas Show Soundtrack","Kacey Musgraves,Troye Sivan",86,1A,28,2024-11-19,02:23,26,"","Glittery (feat. Troye Sivan) [From The Kacey Musgraves Christmas Show Soundtrack]",2020-11-20,60,86,0,35,0,10,-10,G#/A♭ Minor,4,0liLSjkegSKSdYPUidia7y,USUM72017504
48,"Oh My Angel","CHAI",132,8B,29,2024-11-20,03:59,46,"","Angel's last mission : love (Original Television Soundtrack), Pt.2",2019-05-30,48,62,0,27,0,10,-8,C Major,4,69VgsDctzQ7FDAMEuzVumN,KRA381903074
49,"Christmas Blues","Sabrina Claudio,The Weeknd",125,6B,42,2024-11-23,03:25,35,"","Christmas Blues",2020-11-27,65,45,0,18,0,10,-9,A#/B♭ Major,4,6PZaNvcth74ko7Ld0vB8Gm,USAT22007466
50,"Love to Keep Me Warm","Laufey,dodie",140,8B,21,2024-11-29,02:38,52,"","Love to Keep Me Warm",2021-12-03,67,97,0,32,0,10,-13,C Major,4,3bq7dXN7arTdaq8mmKXxob,GBKPL2174394
51,"Щедрий вечір","OSTY,Klavdia Petrivna",97,8B,58,2024-12-02,02:14,20,"","Свято",2023-12-06,67,20,0,52,0,10,-7,C Major,4,3jplLP1cwwZv48WvbYWngM,QMFMG2319270
52,"Evangeline","Stephen Sanchez",109,5B,56,2024-12-09,02:57,54,"","Evangeline",2023-01-25,46,6,0,20,0,10,-7,D#/E♭ Major,4,3lGPy4laQ3s4lT1pRXKmFC,USUG12209506
53,"Be More","Stephen Sanchez",98,5B,44,2024-12-09,03:51,63,"","Angel Face",2023-09-22,23,29,0,10,0,10,-7,D#/E♭ Major,3,306H2K5MwE0Z6jJj0jEuar,USUG12305747
54,"Doesn’t Do Me Any Good","Stephen Sanchez",185,10A,54,2024-12-09,03:52,49,"","Angel Face",2023-09-22,37,10,0,37,0,0,-7,B Minor,3,3Rou7KR8ctza5jeqQfyer0,USUG12305750
55,"Să mă iubești","Andrei Ursu,Eva Timush",163,8B,53,2024-12-17,03:16,35,"manele","Să mă iubești",2024-12-13,41,56,0,63,0,0,-9,C Major,3,7vOicF7WjREmCSCyOeqjl4,ROGRA2400745
56,"Coming Home To You","Lucas Estrada",115,1B,60,2024-12-17,02:39,19,"tropical house, afro house","Coming Home To You",2024-12-13,73,3,0,76,0,0,-9,B Major,4,5EkXtsQyidaN7jtk76Q6fj,GXBDT2486103
57,"He's My Christmas Dream","Nadia DeLeye",132,9A,76,2024-12-19,03:56,0,"","The Merry Gentlemen (Original Motion Picture Soundtrack)",2024-11-25,79,4,0,96,0,0,-8,E Minor,4,7dmmFTuo8Mfu2hvJwAAQlG,TCAJA2452882
