#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Wondering Why","The Red Clay Strays",149,12B,21,2025-11-29,03:52,83,"country","Moment of Truth",2022-04-29,52,85,0,35,0,10,-12,E Major,3,1HbzxLqpNVPdiBXvpC7Ovb,QZTVM2120626
2,"She's Always a Woman","Billy Joel",177,5B,32,2025-11-29,03:21,78,"soft rock","The Stranger (Legacy Edition)",1977-00-00,29,80,0,38,0,10,-12,D#/E♭ Major,3,5RgFlk1fcClZd0Y4SGYhqH,USSM17700375
3,"Wild World","Yusuf / Cat Stevens",153,8B,54,2025-11-29,03:20,79,"folk rock, folk, singer-songwriter","Tea For The Tillerman (Remastered 2020)",1970-11-23,48,35,0,57,0,10,-9,C Major,4,7mjSHL2Eb0kAwiKbvNNyD9,GBUM71905965
4,"If You Could Read My Mind","Gordon Lightfoot",123,11B,24,2025-11-29,03:48,71,"folk rock, folk, singer-songwriter, yacht rock","If You Could Read My Mind",1970-00-00,61,75,0,22,0,10,-13,A Major,4,57ct8jKi6trntXiRV0NnXi,USRE19900467
5,"Flake","Jack Johnson",98,7B,65,2025-11-29,04:41,67,"surf rock","Brushfire Fairytales [Remastered (Bonus Version)]",2011-04-12,76,67,2,96,0,20,-11,F Major,4,54S3uCvfZauNw8lVCHZYYo,USER81100105
6,"I Can't Get Enough of Lovin' you","The Vintage Explosion",180,1B,45,2025-11-29,02:45,58,"soul blues","I Can't Get Enough of Lovin' you",2025-06-20,61,36,0,74,0,0,-8,B Major,3,59fyCmcNW52IWXNfMjvl5h,TCAJQ2559577
7,"Drops of Jupiter (Tell Me)","Train",79,8B,64,2025-11-29,04:19,85,"soft pop","Drops Of Jupiter",2001-03-27,48,15,0,50,0,10,-6,C Major,4,2hKdd3qO7cWr2Jo0Bcs0MA,USSM10019751
8,"Landslide","Fleetwood Mac",159,6A,16,2025-11-29,03:19,87,"yacht rock, classic rock, soft rock","Fleetwood Mac",1975-07-11,41,88,0,42,0,10,-22,G Minor,4,5ihS6UUlyQAfmp48eSkxuQ,USWB19903197
9,"A Lot More Free","Max McNown",143,3B,28,2025-11-29,03:18,77,"","Wandering (Love Me Back)",2024-09-06,47,20,0,31,0,0,-9,C♯/D♭ Major,4,3i86MS9vF1VCf0h2IEpKWY,QMGVJ2300156
10,"Stick Season","Noah Kahan",118,11B,50,2025-11-29,03:02,87,"","Stick Season",2022-10-14,66,80,0,80,0,10,-7,A Major,4,0mflMxspEfB0VbI1kyLiAv,USUM72212470
11,"I'm On Fire","Bruce Springsteen",89,12A,45,2025-11-29,02:39,82,"","Born In The U.S.A.",1984-06-04,62,59,3,87,0,0,-14,C♯/D♭ Minor,4,3PzsbWSQdLCKDLxn7YZfkM,USSM18400411
12,"Scared To Start","Michael Marcagi",148,9B,55,2025-11-29,02:39,79,"","Scared To Start",2024-01-12,53,38,0,44,0,40,-11,G Major,4,3Pbp7cUCx4d3OAkZSCoNvn,USWB12400001
13,"Silver Lining","Mt. Joy",144,8B,64,2025-11-29,03:19,75,"","Mt. Joy",2018-03-02,49,0,0,18,0,0,-6,C Major,4,13xVnZKZDEGbmXkzBFpJDD,USDMG1785501
14,"Give Me One Reason","Tracy Chapman",100,1B,42,2025-11-29,04:28,77,"","New Beginning",1995-10-31,61,60,0,60,0,10,-10,B Major,4,4vDBJeeQCbhP9FaPPMsYkY,USEE19900169
15,"Into the Mystic - 2013 Remaster","Van Morrison",86,4B,52,2025-11-29,03:25,76,"","Moondance",1970-02,61,37,0,80,0,10,-10,G#/A♭ Major,4,3lh3iiiJeiBXHSZw6u0kh6,USWB11302507
16,"Stubborn Love","The Lumineers",115,8B,56,2025-11-29,04:39,78,"folk pop, indie folk","The Lumineers",2012-04-03,60,61,4,23,0,20,-12,C Major,4,4wG82w1L31yQhgGiWt6gIb,USDMG1260807
17,"Dreams - 2004 Remaster","Fleetwood Mac",120,8B,49,2025-11-29,04:17,91,"yacht rock, classic rock, soft rock","Rumours (Super Deluxe)",1977-02-04,83,6,0,79,0,10,-10,C Major,4,0ofHAoxe9vBkTCp2UQIavz,USWB11301111
18,"By and By","Caamp",101,11B,47,2025-11-29,04:40,72,"indie folk, folk","By and By",2019-07-26,58,79,0,33,0,10,-8,A Major,4,6T4eTkoARLnJIzWjAtyQe0,USQE91500937
19,"All My Love","Noah Kahan",116,10B,67,2025-11-29,04:11,80,"","Stick Season",2022-10-14,67,31,0,47,0,10,-7,D Major,4,7ByxizhA4GgEf7Sxomxhze,USUM72217168
20,"Old Man","Neil Young",141,9A,18,2025-11-29,03:24,76,"classic rock, folk rock, singer-songwriter, roots rock","Harvest (50th Anniversary Edition)",1972-02-01,70,43,1,45,0,20,-19,E Minor,4,6grFWYpLQul3nAHjzzPKT8,USRE12200588
21,"Hallucinogenics","Matt Maeson",121,8B,65,2025-11-29,03:07,71,"","Bank On The Funeral",2019-04-05,55,46,0,29,0,10,-7,C Major,4,6bLU8e0LGyztE9iD5DWBQ1,USAT21801088
22,"Work Song","Hozier",121,6B,36,2025-11-29,03:49,79,"","Hozier (Expanded Edition)",2014-09-19,53,75,0,26,0,10,-8,A#/B♭ Major,4,5TgEJ62DOzBpGxZ7WRsrqb,USSM11401475
23,"Fast Car","Tracy Chapman",104,9A,29,2025-11-29,04:56,84,"","Tracy Chapman",1988-04-05,71,31,0,19,0,10,-16,E Minor,4,2M9ro2krNb7nr7HSprkEgo,USEE10180719
24,"Fire and Rain - 2019 Remaster","James Taylor",76,7B,27,2025-11-29,03:23,71,"folk rock, singer-songwriter, soft rock","Sweet Baby James (2019 Remaster)",1970-02-01,60,77,1,34,0,0,-17,F Major,4,1oht5GevPN9t1T3kG1m1GO,USRH11900597
25,"Cleopatra","The Lumineers",151,4B,78,2025-11-29,03:21,75,"folk pop, indie folk","Cleopatra",2016-04-08,54,23,0,49,0,0,-7,G#/A♭ Major,4,2AXY5WABx7NjWw1zb4qCdc,USDMG1673803
26,"Wildflowers","Tom Petty",87,7B,32,2025-11-29,03:10,67,"classic rock","Wildflowers",1994-00-00,54,59,0,57,0,20,-14,F Major,4,2Pr1nZpt8A8WP7QYpyq6L3,USWB10102187
27,"All the Debts I Owe","Caamp",93,8B,48,2025-11-29,03:13,74,"indie folk, folk","Caamp",2016-03-08,46,75,0,47,0,10,-11,C Major,4,3mg2GWeQoe9QnXizWvyAr2,TCACM1659368
28,"Northern Attitude","Noah Kahan",121,5B,63,2025-11-29,04:27,83,"","Stick Season",2022-10-14,52,12,0,32,0,10,-8,D#/E♭ Major,4,4O2rRsoSPb5aN7N3tG6Y3v,USUM72217167
29,"God Needs The Devil","Jonah Kagen",81,8A,53,2025-11-29,03:12,80,"folk pop, pop singer-songwriter","God Needs The Devil",2024-05-03,55,64,0,29,0,0,-8,A Minor,4,3nEotpBFeXq0OJstuHzwDP,USAR12400126
30,"Linger","The Cranberries",95,9B,43,2025-11-29,04:34,87,"","Everybody Else Is Doing It, So Why Can't We?",1993-03-01,44,8,0,20,0,10,-15,G Major,4,0gEyKnHvgkrkBM6fbeHdwK,USIR29300085
