#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Feeling Whitney","Post Malone",80,8B,23,2021-09-24,04:17,71,"","Stoney (Deluxe)",2016-12-09,41,79,0,23,0,20,-13,C Major,4,35r28RDot7nPE7y9K9H7l0,USUM71614505
2,"Home","Luke McCormick",103,10B,6,2021-09-24,05:18,0,"","Home",2020-12-18,54,96,10,30,0,10,-20,D Major,4,3hAXQx3UKPcNBM0E1r95tM,TCAFH2030917
3,"Love Like This - Acoustic","Kodaline",107,12B,15,2021-10-18,04:01,52,"","In A Perfect World (Collection)",2013-06-17,40,96,4,7,0,0,-14,E Major,4,5Wjf9NsW6QCmBiDIdVvMbP,GBVDX1300013
4,"Cinnamon","Jome",140,1A,47,2021-10-17,03:24,5,"","Tunnels",2017-11-03,46,59,0,24,0,10,-11,G#/A♭ Minor,4,7pJ8EpupQvfomVNPtfneql,TCACO1670076
5,"Apple Pie","Lizzy McAlpine",180,6B,21,2021-10-11,04:19,0,"","Give Me A Minute",2020-08-13,52,86,0,42,0,10,-12,A#/B♭ Major,4,5FKNq0lLJnP3iZzBTD0PZj,GBKPL1972264
6,"Cold","Novo Amor",68,5B,30,2021-10-06,04:23,0,"ambient folk","Woodgate, NY",2014-03-31,41,79,40,4,0,0,-11,D#/E♭ Major,4,7gG2urq4CeTzLJJZ2Ygnoy,NOCTN1420030
7,"Deep End","Holly Humberstone",109,8B,31,2021-10-17,02:51,53,"","Deep End",2020-01-31,37,80,0,37,0,10,-8,C Major,4,3DXEbjIftmPeBj638CxyJD,UKW522000001
8,"Somewhere Only We Know","Miki Ratsula",94,4A,2,2021-10-18,03:20,0,"","Somewhere Only We Know",2017-01-24,66,99,0,60,0,0,-21,F Minor,4,6Jk0TEVPYMKlDIr6TjH4hc,TCACX1709290
9,"Naked","Sophie Odira",101,9B,13,2021-09-24,03:33,22,"","Naked",2021-02-11,40,93,0,27,0,10,-23,G Major,4,04l5GNbQ1EHCk5HQwN9IRf,TCAFK2128548
10,"I Love You More","Son of Cloud",66,8B,4,2021-10-08,01:53,0,"christian folk","Son of Cloud",2019-04-12,54,96,1,23,0,10,-16,C Major,4,5hrvyESpIUoss7PwOkVUAn,QZGLS1926818
