#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Near Light","Ólafur Arnalds",118,10B,35,2025-12-10,03:28,56,"neoclassical, contemporary classical, minimalism","Living Room Songs",2011-12-05,48,93,95,9,0,10,-15,D Major,4,6Xajr512QEGAZ20bqAWkyT,GBWZD1103702
2,"On the Nature of Daylight","Max Richter,Louisa Fuller,Natalia Bonner,John Metcalfe,Philip Sheppard,Chris Worsey",66,3A,34,2025-12-10,06:11,72,"neoclassical, contemporary classical, minimalism, classical, ambient","The Blue Notebooks (15 Years)",2018-05-11,7,15,86,3,0,10,-13,A#/B♭ Minor,4,56oReVXIfUO9xkX7pHmEU0,GBDCA0300279
3,"Remembrance","Balmorhea",121,11A,13,2025-12-10,05:49,63,"post-rock, neoclassical","All Is Wild, All Is Silent",2009-10-03,45,47,90,14,0,0,-13,F#/G♭ Minor,3,7xiw42KTmCcqfZNCZqUcnF,US78L0910014
4,"Ambre","Nils Frahm",146,3B,5,2025-12-10,03:47,58,"neoclassical, contemporary classical, minimalism, ambient","Wintermusik",2009-12-07,41,99,94,34,0,10,-26,C♯/D♭ Major,3,25zykbJGBYXYjnq5VyhO3N,GBWZD0901801
5,"Frysta ferð","Sigur Rós",68,10B,6,2025-12-10,02:35,19,"post-rock, dream pop","Hlemmur",2002-10-05,12,89,90,4,0,10,-24,D Major,4,6PqiyB04W0HQuf5u8VHwGK,GBKEE0700019
6,"Opus 23","Dustin O'Halloran",133,2B,3,2025-12-10,03:29,42,"neoclassical, contemporary classical, minimalism","Piano Solos, Vol. 2",2006-09-13,49,100,94,16,0,0,-22,F#/G♭ Major,4,6I4Wgrc38DocwYoZKitLUX,USDBY0602151
7,"Silence of Siberia","Lowercase Noises",80,12B,22,2025-12-10,07:26,39,"post-rock, ambient","This Is for Our Sins",2014-05-14,12,87,94,4,0,10,-18,E Major,4,21cUwlOjOehy98jgn29cTv,USWKN1400002
8,"Experience","Ludovico Einaudi,Daniel Hope,I Virtuosi Italiani",92,10B,45,2025-12-10,05:15,79,"neoclassical, classical, contemporary classical, ","In A Time Lapse",2013-01-01,45,93,96,4,0,0,-11,D Major,4,1BncfTJAWxrsxyT9culBrj,ITB281200070
9,"Glass","Hania Rani",103,12A,8,2025-12-10,04:30,57,"neoclassical, contemporary classical","Esja",2019-04-05,23,99,92,5,0,10,-26,C♯/D♭ Minor,4,4sQBgAPX981djCcsjDJvQx,GBVTB1930007
10,"Helen Jane Long : Porcelain : Turn Away","Helen Jane Long",120,8A,6,2025-12-10,04:23,30,"","Porcelain",2007-06-04,50,99,90,18,0,10,-27,A Minor,4,3B2ZJr8jVqe3uoang1fr7v,GBELP0790011
11,"1/1 - Remastered 2004","Brian Eno",83,10B,0,2025-12-10,17:21,54,"ambient, krautrock, art rock, minimalism, drone, glam rock, space music","Ambient 1: Music For Airports (Remastered 2004)",1978-00-00,26,98,91,4,0,10,-31,D Major,4,3bCmDqflFBHijgJfvtqev5,GBAAA0400426
12,"Bowsprit","Balmorhea",93,9B,18,2025-12-10,05:17,39,"post-rock, neoclassical","Constellations",2010-02-23,34,42,65,17,0,0,-11,G Major,4,04Fcjafu59OwzIYYVXJjbU,US78L1010002
13,"Four","Ólafur Arnalds,Nils Frahm",111,5A,6,2025-12-10,03:08,35,"neoclassical, contemporary classical, minimalism, ambient","Loon",2015-10-02,33,97,94,5,0,10,-20,C Minor,4,1ueqnzfZOmSZgv6Sn0SN1e,GBWZD1507201
14,"Flight from the City","Jóhann Jóhannsson,Yuki Numata Resnick,Tarn Travers,Ben Russell,Clarice Jensen",63,6B,9,2025-12-10,06:31,58,"neoclassical, contemporary classical, minimalism, score, ambient","Orphée",2016-09-16,9,93,92,4,0,10,-22,A#/B♭ Major,3,3Sy6wgTNEp6vSgLs4EyXAf,DEN961630001
15,"First Breath After Coma - Remastered","Explosions In The Sky",122,12A,53,2025-12-10,09:46,43,"post-rock","The Earth Is Not a Cold Dead Place (Anniversary Edition)",2003-11-04,31,1,75,4,0,40,-12,C♯/D♭ Minor,4,3JEZsNaO2MkUfW4EliIPkH,USY6C0706101
16,"Deep","Peter Sandberg",48,1B,7,2025-12-10,04:29,50,"","Motion",2019-03-01,21,90,90,4,0,0,-23,B Major,4,7qt641kuazHzMIn4lbkns5,GB45A1901419
17,"Threnody","Goldmund",93,11B,1,2025-12-10,04:41,57,"ambient, neoclassical, contemporary classical","The Malady Of Elegance",2008-09-05,25,99,90,21,0,10,-31,A Major,4,3ozJwptIuRaAVw1YSLQGD8,DEX260803905
18,"The Hours","Philip Glass",104,6A,13,2025-12-10,07:47,42,"minimalism, contemporary classical, classical, neoclassical","The Hours (Music from the Motion Picture Soundtrack)",2002-12-05,41,97,95,4,0,0,-21,G Minor,4,2vHxeotyQDiCsKaYsaDG5P,USNO10269314
19,"andata","Ryuichi Sakamoto",72,1A,15,2025-12-10,04:38,37,"japanese classical, ambient","async",2017-04-28,6,90,95,4,0,10,-15,G#/A♭ Minor,3,2DuFmqmY2DatBTiWz2tXcF,JPB601700371
