#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"weevil","camiidae",80,6A,22,2025-03-08,03:12,35,"","music for bugs",2023-03-19,62,90,23,15,0,10,-16,G Minor,4,3llGv0wkIs5wre9Af42i1t,GX8LD2380185
2,"isopod","camiidae",168,3B,31,2025-03-08,03:35,33,"","music for bugs",2023-03-19,62,82,49,47,0,10,-16,C♯/D♭ Major,4,1nx1vCUUlrcgznnOeYYzsJ,GX8LD2368237
3,"Exploration","Bruno Coulais,Mathilde Pellegrini,Laurent Petitgirard,Hungrarian Symphony Orchestra Budapest,Hélène Breschand",136,4B,10,2025-03-08,02:01,57,"","Coraline (Original Motion Picture Soundtrack)",2009-02-03,66,99,0,42,0,10,-16,G#/A♭ Major,3,4mavPLLZuKFd86esmhhqqy,USKO10900198
4,"Suis-moi","Camille,Hans Zimmer",78,8B,20,2025-03-08,03:26,45,"french jazz, soundtrack, score","Le Petit Prince (Bande originale du film)",2015-07-24,65,69,0,57,0,30,-17,C Major,4,3ZaNBvzdl0Zhn5sNJbDtOi,USNLR1500220
5,"Sailor Song","Gigi Perez",95,1B,41,2025-03-08,03:31,87,"","Sailor Song",2024-07-26,49,68,0,27,0,10,-10,B Major,4,2262bWmqomIaJXwCRHr13j,USHM92438095
6,"Open Skies","James Patrick Kaleth,Bob Mitchell,Jez Pike",164,9B,92,2025-03-08,02:41,0,"lounge, ","Big Rock",2016-07-04,34,0,88,32,0,10,-8,G Major,4,6GJtrTuByaR8ClTLhS9VkK,GBAZB1667011
7,"Meteor Shower","Owl City",95,7B,54,2025-03-08,02:13,37,"","Ocean Eyes",2009-01-01,49,0,2,18,0,0,-8,F Major,4,2PKjndgPRC05G39LQ1YOzi,USUM70972067
8,"The Trouble","Pogo",115,12B,78,2025-03-08,03:10,33,"plunderphonics","Kindred Shadow",2015-06-11,72,19,72,29,0,10,-10,E Major,4,42hB2Gy09JBb6G2O4u7IsH,TCACG1550680
9,"Roi - Instrumental","Mckyyy",216,12B,33,2025-03-08,01:23,64,"","Roi",2024-04-15,39,40,94,22,0,10,-17,E Major,4,2L5ZLwbqYIBKq5ZdqUxgZg,GX8LE2432338
10,"Posin","Glenn Gatsby",125,8A,94,2025-03-08,03:03,47,"electro swing, swing music","Mission Prohibition",2024-08-23,76,2,75,88,0,0,-5,A Minor,4,60It6ttu8iyOn2wLBu79ga,CH6542057876
11,"song for my lost ghost friends","spellcasting",74,3B,27,2025-03-08,01:33,58,"","song for my lost ghost friends",2023-09-13,54,98,89,38,0,10,-14,C♯/D♭ Major,4,6tlKLobnqnDdmrhtgnP6Rn,QZTAX2366295
12,"Drifting Clouds, Wafting Snow","HOYO-MiX",121,9B,45,2025-03-18,01:26,24,"soundtrack","Genshin Impact - The Stellar Moments, Vol. 5 (Character Theme Original Soundtrack)",2025-01-15,64,37,21,24,0,10,-9,G Major,4,69uLC2x6Lf53iuxpVssRxC,FR10S2523763
13,"butterfly","camiidae",153,10B,24,2025-03-08,03:21,36,"","music for bugs",2023-03-19,48,86,92,7,0,40,-17,D Major,5,5fMLUHoLkzBAvGCGKLHLze,GX8LD2327022
14,"No Tomorrow","David Chappell",99,5A,6,2025-03-08,01:45,34,"","No Tomorrow",2018-02-10,23,83,99,4,0,0,-17,C Minor,3,1njVBwu536g2NQN8UvTQPL,QZARB1848215
