#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"dark snowy night - Speed Up Version","daniel.mp3",74,11A,9,2024-03-03,02:48,54,"dark ambient","dark snowy night",2023-01-19,14,98,82,14,0,0,-22,F#/G♭ Minor,3,3zEYbv19DPCiRHtZ68Cevo,SE5BU2214064
2,"dark snowy night","daniel.mp3",67,9A,9,2024-03-03,03:08,63,"dark ambient","dark snowy night",2023-01-19,13,98,87,4,0,10,-24,E Minor,3,2TPo8lQlZF01DckHHMVAl9,SE5BU2214061
3,"snowfall","Øneheart,reidenshi",95,6B,9,2024-03-03,02:04,84,"dark ambient, ambient","snowfall",2022-01-14,47,93,80,8,0,40,-27,A#/B♭ Major,4,4xF4ZBGPZKxECeDFrqSAG4,QM3DF2191341
4,"i was only temporary","my head is empty",107,6A,22,2024-03-03,01:38,73,"dark ambient, ambient","i was only temporary",2023-10-20,33,62,76,3,0,10,-30,G Minor,4,0X4YYZtZcvqNqYIpMd93IT,QMANG2200401
5,"Goodnight Dad I Love You","Wishing",127,3B,52,2024-03-03,02:43,61,"slowcore","None of This Was Your Fault",2020-04-01,16,93,93,4,0,0,-15,C♯/D♭ Major,4,013L1ZodWo9Ax2g9LejC9O,USDY42020912
6,"stellar",".diedlonely,énouement",82,1A,15,2024-03-03,01:39,71,"dark ambient, ambient","stellar",2023-06-23,49,89,92,11,0,10,-20,G#/A♭ Minor,4,2PpYJcgJN6PzozUv7rU669,QM3DF2222961
7,"III. Clair de lune (Andante très expressif)","Claude Debussy,Alain Planès",133,3B,2,2024-03-03,04:39,1,"impressionism, classical, classical piano","Debussy: Children's Corner, Suite bergamasque, Images",2007-07-31,36,99,93,4,0,0,-27,C♯/D♭ Major,5,6N7JzrteJv8lsr1GWYyu0b,FRZ140504030
8,"School Rooftop (Bird Sounds)","Hisohkah,WMD",110,12B,10,2024-03-03,01:25,71,"electroacoustic","School Rooftop (Bird Sounds)",2023-05-26,33,96,0,6,0,30,-32,E Major,3,66MP31dDAEV6rsmMKDVm9o,QM3DF2218058
9,"in the bleak midwinter",".diedlonely",120,5A,17,2024-03-03,01:36,49,"dark ambient, ambient","in the bleak midwinter",2023-08-11,35,74,88,4,0,10,-28,C Minor,4,5WEBVd7HoSDLMAaJnk6yTT,QM3DF2264906
10,"all alone in the rain","The Lonely Tree",113,4A,14,2024-03-03,03:59,50,"","all alone in the rain",2022-07-01,31,82,82,15,0,10,-21,F Minor,3,4r5lRNwpBgVBVkU5QUkx7p,QZMHM2383337
