#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"dark snowy night","daniel.mp3",67,9A,9,2025-12-27,03:08,63,"dark ambient","dark snowy night",2023-01-19,13,98,87,4,0,10,-24,E Minor,3,2TPo8lQlZF01DckHHMVAl9,SE5BU2214061
2,"green to blue - slowed + reverbed","daniel.mp3",66,9A,3,2025-12-27,03:07,72,"dark ambient","green to blue (slowed + reverbed)",2022-10-06,20,98,97,10,0,10,-29,E Minor,4,1MrSbSu9UNo7Aucwrf32WJ,SE6XY2248251
3,"Killswitch Lullaby","Flawed Mangoes",124,9A,27,2025-12-27,02:27,72,"","Killswitch Lullaby",2023-08-02,57,97,94,40,0,10,-17,E Minor,3,7g3g00RKlqSIe2G8KKCgsE,QM24S2305317
4,"childhood","daniel.mp3,Zamaro",61,9B,5,2026-01-08,02:09,70,"dark ambient","childhood",2023-09-08,28,99,96,15,0,10,-27,G Major,4,06dDLXf4gPbE02gvH8E6G9,SE6QE2374002
5,"One More Light","Linkin Park",84,4B,20,2026-01-25,04:15,78,"nu metal, rap metal, rock, alternative metal","One More Light",2017-05-19,59,90,0,17,0,0,-11,G#/A♭ Major,4,3xXBsjrbG1xQIm1xv1cKOt,USWB11700225
6,"everything works out in the end","Luke Willies",130,4A,28,2026-02-01,03:25,67,"","everything works out in the end",2023-11-16,43,45,89,27,0,10,-15,F Minor,4,3shFZ2oQT3s8DWpItiurXO,GX5MY2327949
7,"Drowning Love - Chasing Kou","Penguin Piano",80,3B,23,2026-02-02,01:53,59,"","Intersteller",2024-02-01,30,97,94,40,0,10,-17,C♯/D♭ Major,4,0JcINBOEZFMchzVInOdk1V,QZYD92401378
8,"Van Gogh","Virginio Aiello,On Piano",97,7A,2,2026-02-02,03:03,72,"","Van Gogh",2021-02-19,24,95,92,8,0,10,-28,D Minor,4,2vCGb0Sr5ismOhXPliKLRW,QZFZ52124124
9,"Sweden","C418",88,10B,1,2026-02-02,03:35,71,"","Minecraft - Volume Alpha",2011-03-04,64,99,95,20,0,10,-25,D Major,4,716HpbfSkMkU7TwQsJlhHT,TCAAW1157087
10,"Cornfield Chase","Hans Zimmer",94,8A,23,2026-02-02,02:06,78,"soundtrack, score","Interstellar (Original Motion Picture Soundtrack) [Expanded Edition]",2014-11-18,18,95,98,5,0,10,-16,A Minor,4,6pWgRkpqVfxnj3WuIcJ7WP,USNLR1400774
11,"Mammoths","John Powell",98,8B,54,2026-02-02,01:24,43,"soundtrack, score","Ice Age: The Meltdown (Original Motion Picture Soundtrack)",2006-01-01,31,18,97,11,0,20,-13,C Major,4,29VcuJPYSp1r8travApPMg,US3M50672526
12,"Ellie Remembers","John Powell",67,6B,7,2026-02-02,02:41,37,"soundtrack, score","Ice Age: The Meltdown (Original Motion Picture Soundtrack)",2006-01-01,20,96,87,4,0,10,-26,A#/B♭ Major,3,5PsSrsGHC5MrQiEpfzDGGg,US3M50672513
13,"Goodnight Sweet Possums - From  Ice Age The Meltdown ","John Powell",70,11A,5,2026-02-02,00:48,52,"soundtrack, score","Ice Age: The Meltdown (Original Motion Picture Soundtrack)",2006-01-01,16,68,1,15,0,10,-30,F#/G♭ Minor,3,7FsuPpJmzsdeB40Q4Nnaq5,US3M50672515
