#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Sheep","Mt. Joy",81,10B,50,2020-12-28,03:35,51,"","Sheep",2017-01-18,50,89,0,29,0,0,-8,D Major,4,7412fpVfB2PSSb1nENQczC,QM24S1700001
2,"Sedona","Houndmouth",135,5B,68,2020-12-28,03:59,0,"","Little Neon Limelight",2015-03-16,40,4,0,25,0,10,-8,D#/E♭ Major,4,50fCm9Wuerl1Ram0FUDEaL,GBCVZ1403597
3,"Sleep On The Floor","The Lumineers",145,9B,44,2020-12-28,03:32,0,"folk pop, indie folk","Cleopatra",2016-02-05,38,25,0,30,0,10,-8,G Major,4,238fZcOkZrWgD4FdnMRTPN,USDMG1673801
4,"Banana Pancakes","Jack Johnson",114,9B,38,2020-12-28,03:11,73,"surf rock","In Between Dreams",2005-01-01,82,61,0,62,10,0,-8,G Major,4,451GvHwY99NKV4zdKPRWmv,USMC60400032
5,"Keep On Dancing","Oh Wonder",82,3B,56,2020-12-28,03:15,40,"","Home Tapes",2020-06-26,59,62,0,61,30,0,-8,C♯/D♭ Major,4,1LBWzdOH7QMrZ2ychzzvPB,GBUM72001376
6,"Vagabond","Caamp",142,12B,40,2020-12-28,02:09,1,"indie folk, folk","Caamp",2016-03-08,57,77,1,61,0,0,-12,E Major,4,3HAgxyWGeJtIVabS2mTREt,TCACM1659369
7,"The Stable Song","Gregory Alan Isakov",138,10B,43,2020-12-28,06:00,66,"indie folk, folk, folk pop","That Sea, The Gambler",2007-01-01,63,63,0,36,0,10,-12,D Major,4,3G9ETaH55bMQx8hwNhAgbU,ushm80743720
8,"Louise","Mipso",90,6B,38,2020-12-28,04:26,0,"bluegrass, newgrass, americana, folk","Dark Holler Pop",2013-10-26,64,77,0,49,0,20,-9,A#/B♭ Major,4,0YeQtvlM0NBGneArOPR1Xw,QMU4N1108031
9,"Tomorrow","Shakey Graves",98,9B,35,2020-12-29,04:00,0,"indie folk","Tomorrow",2016-09-02,56,73,0,42,0,20,-11,G Major,3,47KDDZgFiX1w6RFOuLXsSn,USDMG1677702
10,"Astrovan","Mt. Joy",170,5B,44,2020-12-29,03:06,1,"","Mt. Joy",2018-03-02,55,87,0,62,0,10,-9,D#/E♭ Major,4,14e46mURUUwB3i2vTe1gFz,QM24S1650171
11,"All the Debts I Owe","Caamp",92,8B,49,2020-12-30,03:13,0,"indie folk, folk","Caamp",2016-03-08,48,75,0,47,0,10,-11,C Major,4,6255IIBwKySv6RYrOeHfQh,TCACM1659368
12,"All That and More (Sailboat)","Rainbow Kitten Surprise",83,9B,53,2020-12-30,02:51,0,"","Seven + Mary",2013-11-19,46,80,0,38,10,20,-9,G Major,4,6vyFAHVKIsp3pdyhlOKMAz,TCABT1491605
13,"Yellow Eyes","Rayland Baxter",154,6B,68,2020-12-30,03:50,0,"southern gothic","Imaginary Man",2015-06-16,50,9,0,51,0,10,-8,A#/B♭ Major,4,7t304VesCjiRAvpJ6IW8HG,USATO1400776
14,"All the Pretty Girls","KALEO",75,3B,50,2020-12-30,04:29,68,"","A/B",2016-06-10,47,63,0,35,0,10,-7,C♯/D♭ Major,4,0QQIhT6PtJ5glyn4HKNKQ6,ISV441421101
15,"Skinny Love","Bon Iver",76,9A,26,2020-12-30,03:58,1,"","For Emma, Forever Ago",2008-02-19,59,84,0,11,0,10,-14,E Minor,4,2cbic3TiUENlJX91y67ARR,US38Y0811503
16,"Silver Lining","Mt. Joy",144,8B,62,2020-12-30,03:18,3,"","Mt. Joy",2018-03-02,54,0,0,20,0,10,-7,C Major,4,0i5QVxsK3IvEDbUjTA64Li,USDMG1785501
