#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Warm Me, Winter","Hudson Freeman",93,10B,24,2020-10-05,04:44,0,"","Winter Pack",2018-12-01,40,66,0,6,0,10,-16,D Major,4,0V3lylYfhEZ7gT5YvIpNxm,QZES71894620
2,"Honey + Tea (Acoustic)","Mōzi",128,7B,15,2020-10-19,03:44,30,"","Honey + Tea (Acoustic)",2020-01-03,65,98,0,20,0,0,-12,F Major,4,6wHkQU8FSd3Gc6JtgJOD96,usl4r1910455
3,"A Soulmate Who Wasn’t Meant to Be","Jess Benko",124,8A,3,2021-09-19,05:16,61,"","Do You Love Me, or Are You Just Lonely?",2019-07-19,57,95,0,9,0,30,-20,A Minor,3,0gOz9JUXsaKVzLTSmFDtdo,QZFZ31954857
4,"Big Black Car","Gregory Alan Isakov",110,5B,19,2020-10-19,03:37,74,"indie folk, folk, folk pop","This Empty Northern Hemisphere",2009-01-01,60,91,0,47,0,10,-16,D#/E♭ Major,4,3Kj2EWpIBnvETsYq4cq0IH,uscgj0988301
5,"Courage","Villagers",105,8B,30,2020-10-19,04:47,0,"","Darling Arithmetic",2015-04-13,74,77,14,30,0,20,-12,C Major,4,3TBuD3rme5hDL9DvB4c65U,GBCEL1400719
6,"The Sea And The Rhythm","Iron & Wine",94,1A,29,2020-10-19,05:23,0,"indie folk","The Sea & the Rhythm",2003-09-09,52,94,80,16,0,10,-11,G#/A♭ Minor,4,6GEXcb0buqeKWnsdsUYQ4A,USSUB0311950
7,"Just Your Memory","Johnnyswim,Drew Holcomb & The Neighbors,Penny and Sparrow",81,8B,16,2020-10-19,03:04,38,"folk pop, christian folk, ","Goodbye Road",2018-05-04,38,88,0,14,0,0,-12,C Major,4,3R5rnGVSqVAXfnwo6yogI1,QMP2J1700002
8,"The Night We Met","Lord Huron",174,11B,37,2020-10-12,03:28,0,"","Strange Trails",2015-04-06,44,97,28,10,0,60,-10,A Major,3,6mORGLOz79w6VsCRLWYYuK,US53Q1200103
9,"The First Boy I Kissed","Sion",95,12B,55,2025-04-22,03:10,7,"","The First Boy I Kissed",2025-04-04,49,64,0,14,0,30,-10,E Major,4,2n3WDIGcKikLWThg54m5qI,QZHNB2555881
10,"Real Estate","Adam Melchor",80,10B,28,2020-10-19,03:36,50,"","Real Estate",2018-12-04,50,95,1,19,0,10,-13,D Major,4,2VvTMIXG760UiG9OSiFt9j,QM24S1843329
11,"Carry You","Novo Amor",93,9B,40,2020-10-22,04:33,69,"ambient folk","Bathing Beach",2017-05-26,33,56,8,4,0,10,-8,G Major,4,0u4rkpmNtgcFxYHepnVF4v,GB45A1700488
12,"Crossroads","Tomas Ferdinand",87,7B,22,2022-02-24,02:35,29,"","Crossroads",2022-02-04,78,91,2,33,0,10,-13,F Major,4,00s6DXiI1QKcmC6Rgpv5rA,DE1AO2110029
