#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Problems","Spazz Out",155,10B,69,2026-01-23,01:32,6,"","Problems",2025-10-17,55,2,64,66,10,20,-10,D Major,4,2XGvxSfluNNQHPeiRr8vIR,QT3FD2513200
2,"1992 - Slowed + Reverb Mix","No_4mat",102,8B,82,2026-01-23,02:11,54,"lo-fi house","1992 (Sped Up + Slowed Mixes)",2023-01-07,66,8,89,35,0,10,-9,C Major,4,5WKfKbUW8fRX64x3uQRHE6,QZ5FN2307160
3,"sugar rush","Yandere",168,3B,86,2026-01-23,02:24,37,"breakcore, hyperpop, speedcore","sugar rush",2020-07-27,51,0,84,31,0,20,-7,C♯/D♭ Major,4,2hOE6aYHeuZqiUA25qgT5v,QZKDK2079963
4,"onna boulevard","aye6,Okaymar",79,4A,61,2026-01-23,01:39,27,"underground hip hop","onna boulevard",2025-10-02,59,0,0,23,0,20,-7,F Minor,4,02UURmgNgWYBDjI9U4OiJL,QT3F72513137
5,"Acting Like It Is but It Isn't","Ego Mackey",90,8B,55,2026-01-23,02:34,1,"cloud rap, glitch, experimental hip hop","Healing Music",2019-10-12,36,17,0,34,10,20,-10,C Major,3,7F01sFHL7eJO06XdUeh4jr,QZHN71982083
6,"я не усну","урал гайсин",130,5A,76,2026-01-23,02:13,49,"","я не усну",2025-08-29,67,23,0,46,0,20,-7,C Minor,4,3g3EkJMaL09tGgj72rX8BT,RUAGW2506589
7,"Cali Man","EsDeeKid,Rico Ace",195,11B,83,2026-01-23,01:48,81,"","Rebel",2025-06-20,71,0,0,40,20,20,-4,A Major,4,2pPNAgcdgtRMwK9mPYMK7O,US38Y2546739
8,"tenerife","elz laurent,Vat6ré",160,11B,72,2026-01-23,02:00,29,"experimental hip hop, ","#BELIEVEDAHYPE",2025-10-17,65,1,1,42,0,30,-5,A Major,4,3ClhYvqc1fh4YyGfJ8AUS7,QZWFV2540192
9,"IRON SHELL","cementskid,King",144,3B,55,2026-01-23,01:49,25,"","IRON SHELL",2025-09-03,67,0,7,25,0,30,-11,C♯/D♭ Major,4,4YeMeeYXeOvaWlOdlyNy36,QZZ7Q2592562
10,"FASHION ICON","ZØMB",131,9B,98,2026-01-23,01:49,51,"breakcore, hyperpop","FASHION ICON",2024-07-24,52,2,89,39,0,10,-7,G Major,4,4TUYyjQ9SvdYJP0BDXduT6,TLVEM2437588
