#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"All I Wanna Do","Sheryl Crow",120,11B,53,2022-08-17,04:32,72,"","Tuesday Night Music Club",1993-08-03,82,11,2,93,0,20,-11,A Major,4,3ZpQiJ78LKINrW9SQTgbXd,USAM19300013
2,"Accidentally In Love","Counting Crows",138,9B,93,2022-08-17,03:08,69,"","Accidentally In Love",2004-04-27,55,4,0,81,0,0,-4,G Major,4,4ccM2xBxicGigjLqt6A0YY,USIR10400291
3,"Closing Time","Semisonic",92,9B,85,2022-08-17,04:34,69,"","20th Century Masters: The Millennium Collection: Best Of Semisonic",2003-01-01,48,2,0,27,0,10,-5,G Major,4,1A5V1sxyCLpKJezp75tUXn,USMC19800013
4,"Breathe","Michelle Branch",117,2B,75,2022-08-17,03:31,64,"","Hotel Paper",2003-06-24,64,3,0,21,0,10,-4,F#/G♭ Major,4,635mzxhITS1xY3AVSLKgyD,USMV20300068
5,"Every Morning","Sugar Ray",110,4B,68,2022-08-17,03:39,73,"","14:59",1999-01-12,83,8,0,98,0,0,-4,G#/A♭ Major,4,2ouURa1AIXp3AvkS52Jry5,USAT20902980
6,"Mr. Jones","Counting Crows",142,8B,82,2022-08-17,04:32,81,"","August And Everything After",1993-09-14,58,18,0,73,0,20,-7,C Major,4,5DiXcVovI0FcY2s0icWWUu,USIR10000287
7,"Follow You Down - Edit","Gin Blossoms",156,9A,88,2022-08-17,03:47,59,"","Follow You Down",1996-01-01,49,1,0,68,0,0,-9,E Minor,4,5f2wSctNJlAOUAaRxQAcoM,USAM19601266
8,"Soak Up The Sun","Sheryl Crow",120,12B,73,2022-08-17,04:52,67,"","C'Mon, C'Mon",2002-04-08,72,4,0,71,0,10,-5,E Major,4,215JYyyUnrJ98NK3KEwu6d,USAM10200092
9,"Run-Around","Blues Traveler",152,9B,87,2022-08-17,04:39,70,"jam band","Four",1994-01-01,63,9,0,88,0,10,-7,G Major,4,500Tkm3vJmVtdUwdCVxCTb,USAM19400296
10,"Hanginaround","Counting Crows",91,8B,79,2022-08-17,04:07,63,"","This Desert Life",1999-00-00,50,30,0,73,0,70,-7,C Major,4,0LWINYMC4s8QTdDSb1B3Q3,USIR19915018
11,"Something Like That","Tim McGraw",172,7B,85,2024-07-06,03:03,71,"country, classic country","A Place In The Sun",1999-05-04,51,38,0,85,0,0,-6,F Major,4,6leiB1fEsTnVCuPiielde5,USCRB9900114
12,"Island In The Sun","Weezer",115,9A,81,2022-08-17,03:20,83,"alternative rock","Weezer",2001-05-15,65,1,0,66,0,10,-6,E Minor,4,2MLHyLy5z5l5YRp7momlgw,USIR10110358
13,"In Too Deep","Sum 41",116,11B,84,2022-08-17,03:27,77,"pop punk, punk, skate punk","All Killer, No Filler",2001-01-01,57,0,0,76,0,0,-6,A Major,4,1HNE2PX70ztbEl6MLxrpNL,USIR20110114
14,"Fly","Sugar Ray",100,3B,65,2022-08-17,04:04,70,"","Floored",1997-06-20,84,2,23,67,0,30,-8,C♯/D♭ Major,4,3uPfVXcjnpOjyzI3jb3js4,USAT29700344
15,"All For You","Sister Hazel",137,4B,75,2022-08-17,03:38,67,"","...Somewhere More Familiar",1997-01-01,63,3,0,64,0,0,-6,G#/A♭ Major,4,2skmOCFU64Bg7Ytkgwliwe,USUR10000469
16,"She's so High","Tal Bachman",124,11B,84,2022-08-17,03:44,74,"","Tal Bachman",1999-02-23,54,20,0,21,0,10,-5,A Major,4,7mnGQesk1TzQLzQ9bYWZPR,USSM19802720
17,"Semi-Charmed Life","Third Eye Blind",102,9B,86,2022-08-17,04:28,82,"","Third Eye Blind",1997-04-08,64,1,0,70,0,10,-7,G Major,4,42et6fnHCw1HIPSrdPprMl,USEE19701203
18,"Someday","Sugar Ray",111,12A,68,2022-08-17,04:02,68,"","14:59",1999-01-12,75,1,8,94,0,20,-4,C♯/D♭ Minor,4,6zeDYmP3ARpURvpK29Q09P,USAT20902984
