#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Just a Cloud Away","Pharrell Williams",113,10B,46,2022-03-21,02:56,63,"","Despicable Me 2 (Original Motion Picture Soundtrack)",2013-06-18,89,43,0,70,0,10,-8,D Major,3,4UPQiDmYScn2C6S2C2WATY,USQ4E1300685
2,"Lost","Frank Ocean",123,4B,60,2022-03-21,03:54,85,"","channel ORANGE",2012-07-10,91,3,0,50,20,10,-5,G#/A♭ Major,4,3GZD6HmiNUhxXYf8Gch723,USUM71207186
3,"Marry You","Bruno Mars",145,6B,82,2022-03-21,03:50,82,"","Doo-Wops & Hooligans",2010-05-11,62,33,0,45,0,10,-5,A#/B♭ Major,4,6SKwQghsR8AISlxhcwyA9R,USAT21001887
4,"Golden","Harry Styles",140,9A,84,2022-03-21,03:28,79,"","Fine Line",2019-12-13,45,21,0,25,0,10,-5,E Minor,4,45S5WTQEGOB1VHr1Q4FuPl,USSM11912586
5,"Hey, Soul Sister","Train",97,12A,89,2022-03-21,03:36,84,"soft pop","Save Me, San Francisco (Golden Gate Edition)",2010-12-01,67,19,0,80,0,0,-4,C♯/D♭ Minor,4,4HlFJV71xXKIGcU3kRyttv,USSM10904113
6,"Cake By The Ocean","DNCE",119,9A,75,2022-03-21,03:39,84,"","DNCE",2016-11-18,77,15,0,90,0,0,-5,E Minor,4,76hfruVvmfQbw0eYn1nmeC,USUM71514637
7,"Classic","MKTO",102,3B,79,2022-03-21,02:55,80,"","MKTO",2012-00-00,72,4,0,76,10,10,-5,C♯/D♭ Major,4,6FE2iI43OZnszFLuLtvvmg,USSM11301446
8,"3 Nights","Dominic Fike",152,6A,52,2022-03-21,02:57,74,"","Don't Forget About Me, Demos",2018-10-16,82,22,0,88,0,10,-7,G Minor,4,1tNJrcVe6gwLEiZCtprs1u,USQX91802455
9,"Lil Baby Crush","Jordan Ward",137,11A,44,2022-03-21,02:21,40,"alternative r&b","Remain Calm",2021-10-08,86,57,9,82,10,10,-10,F#/G♭ Minor,4,3ZG4FTdTqdXk1ja9hZap8x,USUM72114936
10,"Broke","Samm Henshaw",90,3B,68,2022-03-21,03:27,53,"uk r&b","Broke",2018-08-08,75,43,0,86,30,10,-4,C♯/D♭ Major,4,1JqcZQCnxjDOfZZwQidb1H,GBARL1800632
11,"Kilby Girl","The Backseat Lovers",162,3B,44,2022-03-21,04:42,79,"","When We Were Friends",2019-01-27,33,6,4,23,0,10,-10,C♯/D♭ Major,4,1170VohRSx6GwE6QDCHPPH,USCGH1936387
12,"Hope","Arlo Parks",99,12A,53,2022-03-21,04:30,47,"","Collapsed In Sunbeams",2021-01-29,59,39,0,43,0,30,-9,C♯/D♭ Minor,4,23bwujVYKeGdbcLd2LQxVo,GBKZV2000121
13,"Runaway Baby","Bruno Mars",164,3A,76,2022-03-21,02:28,77,"","Doo-Wops & Hooligans",2010-05-11,66,26,0,82,0,10,-3,A#/B♭ Minor,4,7hCNBVRhHzcsRAv0TQnOzq,USAT21001885
14,"Love Is Strange","Mickey & Sylvia",122,8B,30,2022-03-21,02:53,53,"","Dirty Dancing (Original Motion Picture Soundtrack)",1987-09-24,57,68,0,81,0,0,-16,C Major,4,66Yxbr2UODJjVBKdZtbnOL,USRC15607532
15,"More Than Friends","Aidan Bissett",160,2B,66,2022-03-23,03:03,61,"","More Than Friends",2020-09-26,56,58,0,67,0,10,-7,F#/G♭ Major,4,1Ph96WpdjNlwD6iKRE2Xa3,QZK6J2093995
