#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Concrete Jungle","Venior",115,3A,71,2023-03-27,02:42,1,"","Free-K Revolution",2023-02-17,94,43,1,61,10,0,-6,A#/B♭ Minor,4,4qiZGRypBziphaEeiRSpLK,DEY472277849
2,"Lost","They Are WiSh",123,9B,85,2023-03-27,03:15,4,"","Lost",2023-03-22,76,0,1,54,0,0,-4,G Major,4,4dhCbflttzhMXZeermSLDo,QZFYY2300840
3,"Breakaway","SIMP,Zaandr",128,12A,76,2023-03-27,02:44,1,"electro house","Breakaway",2023-01-20,55,12,0,17,10,70,-6,C♯/D♭ Minor,4,7cyqD7sW4ZlGEhdDvICIEH,GX2YU2200138
4,"Love Lost","Cecilia Fawn,Faerii",144,8B,8,2023-04-03,02:25,1,"","Love Lost",2022-12-23,56,97,90,19,0,0,-17,C Major,3,0ZxKb528A5IbIDEHlYMwT6,QZTBA2211872
5,"Chimera","Deep Mirage",122,5A,75,2023-04-04,02:29,0,"","Chimera",2023-04-01,74,48,80,11,0,0,-6,C Minor,4,4wHYBYGxQwvoktldh5E3qP,NLRD52259549
6,"Don't Let Me Go","Now O Later,Vanished,Jaime Deraz",124,5A,88,2023-03-27,02:29,16,"hypertechno, slap house","Don't Let Me Go",2022-04-29,67,19,0,66,0,20,-4,C Minor,4,23R6E9VE1yh0jb8nDZDBAS,UKU932251585
7,"Notion","The Rare Occasions",159,11B,88,2023-03-27,03:15,85,"","Notion",2021-12-02,31,7,0,31,0,0,-4,A Major,4,0sTlGEld0h8kIPZaKDYUf4,USHM21617726
8,"My Type","Saint Motel",118,6B,90,2023-03-27,03:26,73,"","My Type",2014-06-17,60,6,0,58,0,0,-3,A#/B♭ Major,4,2DFi8rwHcVkTTgu7PULhtI,GBAYE1400856
9,"Do I Wanna Know?","Arctic Monkeys",85,7B,53,2023-03-27,04:32,1,"indie, garage rock","AM",2013-01-01,55,19,0,41,0,20,-8,F Major,4,3rq5w4bQGigXOfdN30ATJt,GBCEL1300362
10,"Freaks","Surf Curse",180,11B,94,2023-03-27,02:27,86,"indie","Freaks",2021-05-15,35,0,63,41,0,0,-10,A Major,4,7EkWXAI1wn8Ii883ecd9xr,USAT22102269
