#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Stockholmsvy","Hannes,waterbaby",90,3B,39,2023-06-08,02:41,63,"","Stockholmsvy",2022-04-29,74,46,53,74,0,10,-11,C♯/D♭ Major,4,3BeaiIXko9QV8689eWB6yd,QM4TX2262263
2,"Stay cool","James Vincent McMorrow",124,9B,24,2024-02-03,03:27,32,"","Stay cool",2024-01-26,62,90,0,37,0,0,-12,G Major,3,5mH3NdJZnMfoFUSk2LgdGL,CAN112400110
3,"It's Real","Skinshape",88,8B,42,2023-09-28,03:24,18,"","It's Real",2023-09-29,70,33,0,61,0,10,-11,C Major,3,7ffl5tcrHvPInLOVYi1kKX,GBLVL1900359
4,"I Love You","The Bees",78,12B,41,2019-07-30,04:35,35,"","Free The Bees",2004-01-01,47,76,0,33,0,20,-9,E Major,4,5shcxlhR6ChgqDf5eBtpBW,GBAAA0400017
5,"Sunset Canyon","Foxwarren",110,3B,34,2019-06-28,04:20,40,"","Foxwarren",2018-11-30,68,31,7,43,0,30,-10,C♯/D♭ Major,4,3kXrgO7Sl0jgURAv7boX5q,USEP41841008
6,"Blood Red Sentimental Blues","Cotton Jones",93,6B,72,2019-06-27,04:36,0,"baroque pop","Paranoid Cocoon",2009-01-27,57,22,0,68,0,10,-6,A#/B♭ Major,4,6m2OUSC736AxOVJ3W0FcEr,US33X0907908
7,"Shabop Shalom","Devendra Banhart",104,8A,37,2019-07-25,04:38,0,"","Smokey Rolls Down Thunder Canyon",2007-09-24,55,57,84,62,0,10,-14,A Minor,4,0Y6mbxyg9qE17J5YIbi4Kx,GBBKS0700320
8,"Flamingo","Fruit Bats",120,12B,55,2019-06-26,04:01,0,"","The Ruminant Band",2009-04-08,62,96,79,38,0,10,-8,E Major,3,6P6jyX25Twcnts78GASx7n,USSUB0983011
9,"Fruits Of My Labor","Lucinda Williams",176,4B,23,2019-06-25,04:48,55,"alt country, americana, outlaw country, singer-songwriter, folk","World Without Tears",2003-01-01,34,70,0,17,0,10,-12,G#/A♭ Major,3,31nItlXwgCCFpttS50Rbxf,USMR10200541
10,"Curls","Bibio",82,11B,35,2019-07-22,03:17,0,"ambient folk, downtempo","Ribbons",2019-04-12,50,88,80,23,0,70,-11,A Major,4,2dXAmfTnWAzuBakuyMNoMu,GBBPW1900017
