#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Days Like This","Van Morrison",94,5A,54,2020-08-23,03:17,8,"","Days Like This",1995-06,66,66,0,69,0,0,-8,C Minor,4,3xINh6YqkLfucEtjoa4x7D,USQX91501515
2,"(Sittin' On) the Dock of the Bay","Otis Redding",104,10B,37,2020-08-23,02:43,80,"motown, soul, classic soul, soul blues","The Dock of the Bay (Mono)",1968-00-00,77,68,0,53,0,0,-11,D Major,4,3zBhihYUHBmGd2bcQIobrF,USAT21403443
3,"Ain't No Sunshine","Bill Withers",78,9A,42,2022-07-23,02:06,85,"soul","Just As I Am",1971-05-01,53,46,0,52,10,10,-11,E Minor,4,1k1Bqnv2R0uJXQN4u6LKYt,USSM10000372
4,"It's A Man's, Man's, Man's World","James Brown & The Famous Flames",81,2A,24,2022-07-23,02:47,61,"","It's A Man's Man's Man's World",1966-08-01,54,69,0,57,0,10,-17,D#/E♭ Minor,3,3SQ9Hb9rfpJ02AWfaOPhpy,USPG19190035
5,"Who Is He (And What Is He to You)?","Bill Withers",99,12A,31,2022-07-23,03:14,59,"soul","Still Bill",1972-05-01,92,10,0,96,0,0,-13,C♯/D♭ Minor,4,1KywyxekfDEp3Ym7YP7S25,USSM10000371
6,"Soul Shadows - Edit","The Crusaders,Bill Withers",87,3A,39,2022-07-23,06:23,43,"jazz funk, jazz fusion, smooth jazz, soul jazz, soul","The Vocal Album",1987-01-01,70,14,0,83,0,0,-15,A#/B♭ Minor,4,1gSP2PYlWu3429ySMUjc8s,USMC18723643
7,"Brown Eyed Girl","Van Morrison",151,9B,58,2022-03-07,03:03,22,"","Blowin' Your Mind!",1967-09,49,19,0,91,0,40,-11,G Major,4,3yrSvpt2l1xhsV9Em88Pul,USSM16700357
8,"Just My Soul Responding","Smokey Robinson",181,8B,76,2022-03-07,05:21,28,"motown, quiet storm, classic soul","Smokey",1973-06-19,53,23,0,47,0,20,-5,C Major,4,42TmGvz2meNpHYqhA6LLqt,USMO17384724
9,"He Called Me Baby","Candi Staton",94,5B,38,2022-07-23,03:33,51,"","Stand By Your Man",1971-00-00,63,56,0,82,0,10,-13,D#/E♭ Major,4,3zIiZrCROmhS9ERPdEHXYa,USCA27000099
10,"Jealous Guy","Donny Hathaway",122,9B,48,2022-07-23,03:08,65,"soul, classic soul","Someday We'll All Be Free",2010-03-22,46,60,0,65,0,60,-9,G Major,4,4ZMofBIe1948b23GZJriAd,USAT20302025
11,"Fire And Rain","Bobby Womack",134,9B,52,2022-07-23,04:15,31,"soul, classic soul","The Best Of Bobby Womack - The Soul Years",2008-01-01,63,67,0,57,0,10,-10,G Major,4,2OlXra3yH56nYW7j5kygda,USEM39400331
12,"Beast Of Burden - Remastered 1994","The Rolling Stones",101,12A,88,2022-03-07,04:25,78,"classic rock, rock","Some Girls",1978-06-09,78,39,0,89,0,0,-4,C♯/D♭ Minor,4,77oU2rjC5XbjQfNe3bD6so,GBCJN7800009
13,"Tenth Avenue Freeze-Out","Bruce Springsteen",117,7A,78,2022-03-07,03:11,55,"","Born To Run",1975-08-25,70,48,0,92,0,0,-4,D Minor,4,4Gmdm6oRVwJgsM8gYnwRoE,USSM19904336
14,"Easy","Commodores",133,3A,39,2021-09-25,04:16,79,"motown, classic soul","Commodores",1977-01-01,59,11,0,36,0,0,-15,A#/B♭ Minor,4,1JQ6Xm1JrvHfvAqhl5pwaA,USMO17700543
15,"Put Your Records On","Corinne Bailey Rae",96,11B,51,2020-08-23,03:35,83,"","Corinne Bailey Rae",2006-01-01,74,17,0,54,0,10,-8,A Major,4,2nGFzvICaeEWjIrBrL2RAx,GBAYE0501671
16,"Banana Pancakes","Jack Johnson",115,9B,37,2020-08-23,03:11,72,"surf rock","In Between Dreams",2005-01-01,81,60,0,63,10,0,-8,G Major,4,0BgbobvykXxEvxo2HhCuvM,USMC60400032
17,"Sir Duke","Stevie Wonder",107,2B,57,2021-09-25,03:52,75,"motown, classic soul, soul","Songs In The Key Of Life",1976-09-28,59,16,0,95,0,0,-10,F#/G♭ Major,4,4pNiE4LCVV74vfIBaUHm1b,USMO17600526
18,"Sweet Pea","Amos Lee",102,1B,29,2020-08-23,02:09,63,"","Supply And Demand",2006-01-01,95,15,0,82,0,20,-9,B Major,4,4KqBoq7MoDJeVsvUHTjXCM,USBN20600451
19,"Steal My Kisses","Ben Harper And The Innocent Criminals",101,9B,56,2020-08-23,04:05,0,"","Burn To Shine",1999-09-21,91,24,2,87,10,20,-11,G Major,4,4cIwg5VY8Lo1NYwq7llOth,USVI29900131
20,"Maybe I’m Amazed - Remastered 2011","Paul McCartney",79,9B,49,2021-09-25,03:49,65,"","McCartney (Archive Collection)",1970-04-17,47,39,9,37,0,60,-10,G Major,4,1Qa0Y05al633fG8f9Peytc,GBCCS1000115
21,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007","Amy Winehouse",97,4A,37,2020-08-23,03:53,72,"","Back To Black (Deluxe Edition)",2006-00-00,77,75,0,68,0,10,-6,F Minor,4,6nLvaCZFR1wEzW3sIKpsnr,GBUM70702678
22,"Strictly Reserved for You","Charles Bradley,Menahan Street Band",87,7B,73,2020-08-24,03:42,0,"soul, retro soul, funk","Victim of Love",2013-04-02,63,16,0,62,0,10,-6,F Major,4,2aWr9QRr0pSmYFH04zngiP,US4GZ1303101
23,"The Weight - Remastered 2000","The Band",144,11B,55,2021-09-25,04:34,71,"folk rock, roots rock, southern rock, americana","Music From Big Pink (Remastered)",1968-07-01,63,37,0,52,0,10,-9,A Major,4,0P7DoyGrr4Wp9w5TotEtUC,USCA20000789
24,"Our House","Crosby, Stills, Nash & Young",140,11B,21,2022-07-23,02:59,72,"folk rock, classic rock","Deja Vu",1970-03-11,59,90,0,38,0,10,-15,A Major,4,2hitsKa8SthKhRJBXUHbIv,USAT20901935
25,"Smooth Sailin'","Leon Bridges",67,10A,72,2020-08-24,03:03,1,"retro soul","Coming Home",2015-06-15,64,41,0,75,0,20,-7,B Minor,4,3JbqwFY5q0ORO3siv5zL3A,USQX91500476
26,"Coming Home","Leon Bridges",112,2B,47,2020-08-24,03:26,0,"retro soul","Coming Home",2015-06-15,43,46,0,46,0,10,-7,F#/G♭ Major,3,5EA06TsQmqmQXZiEhr1AaM,USQX91500057
27,"Cecilia","Simon & Garfunkel",103,8B,88,2021-09-25,02:54,71,"folk rock, folk","Bridge Over Troubled Water",1970-01-26,76,36,0,95,0,20,-9,C Major,4,6QhXQOpyYvbpdbyjgAqKdY,USSM16900181
28,"You Are The Sunshine Of My Life - Single Version With Horns","Stevie Wonder",132,1B,60,2020-08-24,02:52,35,"motown, classic soul, soul","The Definitive Collection",2002-10-29,46,53,0,91,0,10,-11,B Major,4,1Qmbu67shyEmjBAaiDFePM,USMO10000895
29,"Best of My Love","The Emotions",115,8B,71,2022-07-23,03:40,70,"motown, disco","Rejoice",1977-06-10,78,45,14,97,0,0,-7,C Major,4,2M2WJ7gBlcKNxdhyfPp9zY,USSM17700716
