#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Sunset Drive","Sofi Tones",84,1A,62,2025-11-05,02:18,49,"lo-fi beats, lo-fi","Sunset Drive",2025-02-14,74,76,87,58,10,20,-10,G#/A♭ Minor,4,7c3NG5R8SQgHpwVhm7w1kO,SE7DX2407485
2,"Boss It Up","d.w.h",152,2B,41,2025-11-05,02:11,44,"lo-fi beats, lo-fi","Boss It Up",2025-05-02,86,54,85,57,0,10,-12,F#/G♭ Major,4,4eIueX3cCUCVLDIQxdbEVV,SE5W32506139
3,"Sorriso","Soul Siesta",140,4B,64,2025-11-05,01:22,43,"lo-fi beats","Sorriso",2025-05-09,66,27,4,41,0,20,-9,G#/A♭ Major,4,4zmMz9unupHFD3ajR0aIpd,AUKDT2501026
4,"Cruisin'","Showyou,Noflik,Dontcry",83,3B,38,2025-11-05,02:18,45,"lo-fi beats, lo-fi, jazz beats, lo-fi hip hop","Cruisin'",2024-01-22,83,52,92,63,30,10,-16,C♯/D♭ Major,4,5cQfqmLVX7UhOmSGg3SyYA,DGA0Q2310171
5,"aqua de vida","$imba",132,2B,46,2025-11-05,02:18,43,"lo-fi","aqua de vida",2025-05-09,97,38,89,80,0,10,-11,F#/G♭ Major,4,0Ne1LywAyuBFOHyExJrCZF,SE5W32506254
6,"red velvet","May-Flowa",85,9B,41,2025-11-05,01:54,49,"lo-fi, lo-fi beats","red velvet",2025-07-13,59,47,82,33,0,20,-13,G Major,4,7hmGiIswHFcMf4KnFnaokm,QZAKB2515541
7,"Be Life","Pol Fickley",82,9A,36,2025-11-05,02:10,43,"","Be Life",2025-05-09,82,87,96,40,0,10,-10,E Minor,4,0q2xzgrDunFhmPgpSu149R,SE7DX2500041
8,"friends","cece lace",77,8A,34,2025-11-05,02:00,42,"","friends",2025-08-10,59,29,90,29,10,30,-16,A Minor,4,2aMkeVQePgsACTHOmLzTgX,QZAKB2520276
9,"parasol","ddrreeaamm",80,4A,32,2025-11-05,02:03,42,"lo-fi beats, lo-fi","parasol",2025-08-15,68,57,70,38,10,0,-12,F Minor,4,1wP1d4nGNKcbzF1O4rhsyM,SE5W32507244
10,"Summer Vacays","Tymez.2",84,1A,46,2025-11-05,02:05,42,"","Summer Vacays",2025-08-29,82,62,90,32,0,10,-10,G#/A♭ Minor,4,0EIn6l9yjY9iEf3pDFCEMF,SE69Z2510261
11,"cogumelo","is aí",136,7A,24,2025-11-05,02:21,42,"","cogumelo",2024-03-01,76,97,96,46,0,0,-19,D Minor,4,5CZiLnNVWHIpqDn2Mf0OKt,SE69N2400117
12,"mango mood","loutwo",81,11A,29,2025-11-05,02:34,48,"lo-fi, lo-fi beats","mango mood",2025-08-24,74,5,87,75,10,10,-17,F#/G♭ Minor,4,0iDTZd1A7TNkqDPYtlFIjN,QZAKB2518751
13,"kites in the sky","Fya Playce",88,9B,29,2025-11-05,02:14,46,"lo-fi beats, lo-fi","kites in the sky",2025-06-15,72,70,91,56,0,10,-16,G Major,4,1K5AVPjIGLp0HKbPR5riIY,QZAKB2510108
14,"Shinjuku","Lost Neko,Tolan",82,8A,45,2025-11-05,01:46,49,"lo-fi beats, jazz beats","Shinjuku",2025-06-27,72,72,92,25,0,20,-11,A Minor,4,71bmF2rv4Bm81h14d7FQqJ,AUKDT2501048
15,"Wobbly","BleuBleu",80,10A,22,2025-11-05,02:04,41,"","Wobbly",2025-10-10,75,89,93,47,10,10,-9,B Minor,4,2VPYrN6XI86cYan7iMgCZy,SE6RU2510396
16,"Named","driftø blues",174,8B,43,2025-11-05,02:09,46,"lo-fi","Named",2024-09-13,72,44,79,63,10,0,-15,C Major,4,2EPBCYmhP2YZGBYNmq6nyI,SE69Z2434297
17,"Dimples","Le Pug",170,8B,41,2025-11-05,01:55,47,"","Dimples",2021-01-31,83,20,76,49,30,10,-10,C Major,4,5zNXoNQMHEQYegSTnfn5Jo,SE4RG2119501
18,"martini","$imba",125,1B,39,2025-11-05,02:26,41,"lo-fi","martini",2025-10-24,93,73,90,31,10,10,-10,B Major,4,6qjfxpofOyZBlaQQ2izHZw,SE5W32508072
19,"Crown Heights","Valentina Porter",79,6B,39,2025-11-05,01:54,41,"","Crown Heights",2025-08-15,54,68,90,18,10,10,-18,A#/B♭ Major,4,2Khq1t9O5FYsisYpAo4GA9,QZWFS2592092
20,"Nicosia","Showyou",142,12B,32,2025-11-05,01:54,53,"lo-fi beats, lo-fi","Nicosia",2024-08-27,84,91,89,82,0,10,-16,E Major,4,0s5pKkA3WQsR2LWjO9ZXab,DGA062489607
21,"Cali Sunsets","Rudy Raw",85,9B,89,2025-11-05,02:01,41,"lo-fi hip hop, lo-fi, lo-fi beats","Cali Sunsets",2025-08-22,66,32,85,38,0,10,-10,G Major,4,4ARFTlrceFfHiusnrnugoV,DEZC62503266
22,"purple peach crush","lilibu",146,4A,31,2025-11-05,02:14,47,"lo-fi, lo-fi beats","purple peach crush",2025-08-10,88,72,81,64,0,30,-17,F Minor,4,3gwzdsFpI5XIKe2QaesP3L,QZAKB2518664
23,"waved out","sloh rou",83,1B,50,2025-11-05,01:44,43,"lo-fi beats, lo-fi","waved out",2025-02-14,76,75,88,72,10,10,-7,B Major,4,4D9QtoRfZv0RO9k9bbt6jN,FR10S2598411
24,"Discrepancy","jzbts",80,7B,32,2025-11-05,02:00,41,"lo-fi","Discrepancy",2025-08-03,85,5,83,48,0,10,-10,F Major,4,24Mi6t4aS0XeaMP84nzQLV,SE69Z2509124
25,"Palace Hotel Tokyo","Lost Neko,Tolan",168,8B,37,2025-11-05,02:02,41,"lo-fi beats, jazz beats","Palace Hotel Tokyo",2025-07-11,72,57,86,49,0,10,-11,C Major,4,0vCMazYnRWWIGQoIJHzRyt,AUKDT2501052
26,"highway one","low&slow",148,9B,42,2025-11-05,02:11,41,"lo-fi beats, lo-fi","highway one",2025-04-04,67,82,87,51,0,10,-12,G Major,4,2tQXKumBH3TcShaJcCC6X0,SE5W32505785
27,"Gunko","Koby 808",164,9A,36,2025-11-05,01:51,41,"lo-fi beats, lo-fi","Gunko",2025-08-29,76,88,91,40,10,10,-15,E Minor,4,40hGWOkIlV4uzPTm5zlwE7,SE5W32507390
28,"warm breeze","ninetytwo.",79,6A,35,2025-11-05,02:01,44,"lo-fi beats, lo-fi","warm breeze",2025-09-21,73,19,79,27,0,10,-13,G Minor,4,5PNeQPmR8AtlLx4Upf08Hi,SE69Z2510717
29,"glow","vädur",154,9A,26,2025-11-05,01:55,49,"","glow",2025-07-13,73,26,69,45,10,10,-13,E Minor,4,0HD6mjmxgblAsOTK4MY9FB,QZAKB2515540
30,"Lucky Dice","East Lassitude",90,11B,31,2025-11-05,02:24,40,"lo-fi beats, lo-fi","Lucky Dice",2025-07-04,73,75,94,47,10,10,-11,A Major,4,5HGAKgsUr9ERZceSpiKoEU,SE66H2500598
31,"guarana","loutwo",80,9A,33,2025-11-05,01:57,40,"lo-fi, lo-fi beats","guarana",2025-07-20,66,64,81,43,10,20,-15,E Minor,4,54RtvF7DieSXKmUfPBs1TG,QZAKB2516650
32,"Evening Cool","Timothy Infinite",93,3B,64,2025-11-05,03:00,41,"lo-fi beats, lo-fi","Evening Cool",2024-08-08,73,6,77,69,0,30,-7,C♯/D♭ Major,4,76PWGkQYyMhz4TlGuDkb75,SE5Q52402416
33,"Cerebral Hemispheres","Left spectrum of the brain",192,7B,28,2025-11-05,02:00,40,"","Gatekeepers Between The Spinal",2023-03-09,66,88,91,57,20,10,-16,F Major,4,3JWHNLTvYVDDFkkVkeK5gP,SE4RG2302039
