#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"All I Wanna Do","Sheryl Crow",120,11B,53,2025-06-25,04:32,72,"","Tuesday Night Music Club",1993-08-03,82,11,2,93,0,20,-11,A Major,4,3ZpQiJ78LKINrW9SQTgbXd,USAM19300013
2,"Maria Maria (feat. The Product G&B)","Santana,The Product G&B",98,10B,60,2025-06-25,04:21,74,"","Supernatural (Remastered)",1999-06-15,78,4,0,68,10,0,-6,D Major,4,3XKIUb7HzIF1Vu9usunMzc,USAR19900035
3,"Dreams - 2004 Remaster","Fleetwood Mac",120,8B,49,2025-06-25,04:17,91,"yacht rock, classic rock, soft rock","Rumours (Super Deluxe)",1977-02-04,83,6,0,79,0,10,-10,C Major,4,0ofHAoxe9vBkTCp2UQIavz,USWB11301111
4,"Lovely Day","Bill Withers",98,11B,65,2025-06-25,04:17,81,"soul","Menagerie",1977-10-29,69,29,0,71,0,10,-8,A Major,4,0bRXwKfigvpKZUurwqAlEh,USSM10207844
5,"We Are The People","Empire Of The Sun",123,9A,78,2025-06-25,04:27,90,"","Walking On A Dream (10th Anniversary Edition)",2008-10-03,68,8,1,53,0,40,-5,E Minor,4,3zEN0ii6s4DHHBpnTp3RP7,AUEI10800041
6,"Fade Into You","Mazzy Star",157,11B,33,2025-06-25,04:55,87,"dream pop, shoegaze, slowcore","So Tonight That I Might See",1993-10-05,42,25,0,18,0,0,-14,A Major,3,1LzNfuep1bnAUR9skqdHCK,USCA29300105
7,"It Ain't Over 'Til It's Over","Lenny Kravitz",160,2B,57,2025-06-25,04:02,84,"","Mama Said",1991-04-02,68,42,1,93,0,30,-11,F#/G♭ Major,4,6VnpKLtfNH4Dk09YSGPSyR,USVI29100003
8,"Linger","The Cranberries",95,9B,43,2025-06-25,04:34,87,"","Everybody Else Is Doing It, So Why Can't We?",1993-03-01,44,8,0,20,0,10,-15,G Major,4,0gEyKnHvgkrkBM6fbeHdwK,USIR29300085
9,"Watermelon Sugar","Harry Styles",95,8B,82,2025-06-25,02:53,87,"","Fine Line",2019-12-13,55,12,0,56,0,30,-4,C Major,4,6UelLqGlWMcVH1E5c4H7lY,USSM11912587
10,"You Get What You Give","New Radicals",114,10B,90,2025-06-25,05:00,83,"","Maybe You've Been Brainwashed Too",1998-01-01,62,17,0,74,0,0,-5,D Major,4,1Cwsd5xI8CajJz795oy4XF,USMC19858327
