#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Without You","Strawberry Guy",125,9B,53,2024-08-15,03:48,72,"bedroom pop","Without You",2019-07-21,53,46,21,30,0,10,-9,G Major,4,2hIrHUgeI2cKYwM18MkGPK,TCADO1884573
2,"Space Song","Beach House",147,5A,79,2024-08-15,05:20,76,"dream pop","Depression Cherry",2015-08-28,51,23,14,61,0,10,-7,C Minor,4,1ZgMsA55GIY7ICkQh5MILA,USSUB1512203
3,"Blue Hair","TV Girl",136,12B,72,2024-08-15,03:37,84,"","Death of a Party Girl",2018-05-08,75,55,5,88,0,20,-6,E Major,4,39sDitIeCMrVX2QyXHY46t,USDY41861506
4,"Not Allowed","TV Girl",105,3B,91,2024-08-15,02:47,85,"","Who Really Cares",2016-02-25,67,67,0,56,10,30,-7,C♯/D♭ Major,4,3IznIgmXtrUaoPWpQTy5jB,USCGH1682131
5,"Chamber Of Reflection","Mac DeMarco",131,1B,56,2024-08-15,03:51,84,"indie, lo-fi indie","Salad Days",2014-04-01,54,26,91,51,0,10,-9,B Major,4,7H7NyZ3G075GqPx2evsfeb,QMMZN1300568
6,"For the First Time","Mac DeMarco",76,4A,53,2024-08-15,03:02,83,"indie, lo-fi indie","This Old Dog",2017-05-05,55,30,1,52,0,10,-10,F Minor,4,2R4AlwtrrkMaRKojcTIzmL,QMMZN1701301
7,"Cigarettes out the Window","TV Girl",114,8B,66,2024-08-15,03:18,86,"","Who Really Cares",2016-02-25,63,12,0,59,0,10,-6,C Major,4,6QeYSvYqYUsfBzsApbjDHO,USCGH1682129
8,"Lovers Rock","TV Girl",105,4A,87,2024-08-15,03:33,88,"","French Exit",2014-06-05,56,0,1,57,0,10,-5,F Minor,4,6dBUzqjtbnIa1TwYbyw5CM,USHM21438143
9,"Intermission","Strawberry Guy",99,1B,42,2024-08-15,01:50,64,"bedroom pop","Taking My Time to Be",2019-09-27,44,26,82,24,0,10,-7,B Major,3,4hm33jVolpa22nzhlY72jD,GBJGV1900103
10,"YKWIM?","Yot Club",124,11B,54,2024-08-15,03:32,78,"bedroom pop","Bipolar",2019-05-31,37,94,87,23,0,20,-8,A Major,3,2vWBUC9djv6BtiGlmKiQaH,CAGOO1966522
11,"Blondie","Current Joys",122,2B,63,2024-08-15,03:14,2,"lo-fi indie","Wild Heart",2013-01-02,78,62,90,87,0,0,-13,F#/G♭ Major,4,7sIx70dGj3VBiHWr0KZXfD,TCACS1661024
12,"Kids","Current Joys",113,2B,66,2024-08-15,04:29,3,"lo-fi indie","Kids",2015-03-08,83,51,40,90,0,0,-10,F#/G♭ Major,4,3pyyGVqWvRMq43qtJBzxe0,TCACS1677524
13,"New Flesh","Current Joys",166,11B,59,2024-08-15,02:47,1,"lo-fi indie","Wild Heart",2013-01-02,62,89,50,70,0,0,-16,A Major,4,6HJxxqHWMdidwTVZmZWeHU,TCACS1660968
14,"Fear","Current Joys",94,10B,45,2024-08-15,03:36,1,"lo-fi indie","A Different Age",2018-03-02,72,70,43,51,0,0,-8,D Major,4,4rHfpAN2CK3H6eRWd7j7E0,QMBZ91743918
15,"There Is a Light That Never Goes Out - 2011 Remaster","The Smiths",136,12B,77,2024-08-15,04:04,85,"new wave, madchester, jangle pop","The Queen Is Dead",1986-06-16,52,4,0,88,0,10,-6,E Major,4,0WQiDwKJclirSYG9v5tayI,GBCRL1100054
16,"Heaven Knows I'm Miserable Now - 2011 Remaster","The Smiths",114,2B,76,2024-08-15,03:35,82,"new wave, madchester, jangle pop","Hatful of Hollow",1984-00-00,61,3,0,77,0,10,-5,F#/G♭ Major,4,1xaTREM89RbIxkcjlpf4Uw,GBCRL1100070
17,"Back to the Old House - 2011 Remaster","The Smiths",104,10B,49,2024-08-15,03:06,83,"new wave, madchester, jangle pop","Louder Than Bombs",1987-00-00,63,1,0,40,0,10,-8,D Major,3,6LUGvXEAK8WxIBYK43uoTb,GBCRL1100089
