#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"So Good At Being in Trouble","Unknown Mortal Orchestra",104,8B,44,2021-09-11,03:50,0,"neo-psychedelic","II",2013-02-05,83,4,88,59,0,10,-10,C Major,4,2lwi35A2ym3FAmSlvOGnQp,US38Y1323203
2,"This Life","Vampire Weekend",170,11B,71,2021-09-11,04:28,60,"indie, baroque pop","Father of the Bride",2019-05-03,62,23,0,83,10,0,-6,A Major,4,4dRqYKhLVujxiBXcq50YzG,USSM11900141
3,"Rhiannon","Fleetwood Mac",129,8A,49,2021-09-11,04:12,61,"yacht rock, classic rock, soft rock","Greatest Hits",1988-11-21,72,11,9,80,0,0,-15,A Minor,4,5TWPfkeN07aERO0Yn2D2t2,USWB19900188
4,"Dreams - 2004 Remaster","Fleetwood Mac",120,8B,49,2021-09-11,04:17,91,"yacht rock, classic rock, soft rock","Rumours (Super Deluxe)",1977-02-04,83,6,0,79,0,10,-10,C Major,4,0ofHAoxe9vBkTCp2UQIavz,USWB11301111
5,"The Chain - 2004 Remaster","Fleetwood Mac",152,11B,67,2021-09-11,04:30,89,"yacht rock, classic rock, soft rock","Rumours (Super Deluxe)",1977-02-04,55,1,0,48,0,0,-9,A Major,4,5e9TFTbltYBg2xThimr0rU,USWB11301116
6,"Where'd All the Time Go?","Dr. Dog",166,10B,82,2021-09-11,03:54,82,"","Shame, Shame (Deluxe Edition)",2010-11-02,45,13,0,57,0,10,-4,D Major,4,0UV5zxRMz6AO4ZwUOZNIKI,USEP40937005
7,"Canyon Moon","Harry Styles",94,10B,62,2021-09-11,03:09,69,"","Fine Line",2019-12-13,60,33,0,70,0,10,-7,D Major,4,5IhzJOXNE7ki0IIJbZbnGq,USSM11912595
8,"Summertime Sadness","Lana Del Rey",112,12A,65,2021-09-11,04:25,67,"","Born To Die - The Paradise Edition",2012-11-12,56,5,0,24,0,10,-7,C♯/D♭ Minor,4,2dBwB667LHQkLhdYlwLUZK,GBUM71111565
9,"Doin' Time","Lana Del Rey",145,6A,56,2021-09-11,03:22,79,"","Norman Fucking Rockwell!",2019-08-30,64,40,0,52,0,0,-11,G Minor,4,0Oqc0kKFsQ6MhFOLBNZIGX,GBUM71903894
10,"Kids Turned Out Fine","A$AP Rocky",165,3B,67,2021-09-11,03:03,56,"rap","TESTING",2018-05-25,30,28,0,13,20,30,-9,C♯/D♭ Major,5,0qp8MuZNKelOGTK2HPlXBA,USRC11801928
11,"Teenage Dirtbag","Wheatus",95,12B,84,2021-09-11,04:01,69,"","Songs From Dawson's Creek, Vol. II",2000-09-29,62,36,0,57,0,10,-4,E Major,4,3LI4MmibTkXH5cGpCGZgyw,USSM10008431
12,"Passionfruit","Drake",112,1B,46,2021-09-11,04:58,88,"rap","More Life",2017-03-18,81,26,9,36,0,10,-11,B Major,4,5mCPDVBb16L4XQwDdbRUpz,USCM51700072
13,"Live While We're Young","One Direction",126,10B,86,2021-09-11,03:20,73,"","Take Me Home (Expanded Edition)",2012-11-12,66,5,0,93,0,10,-2,D Major,4,6Vh03bkEfXqekWp7Y1UBRb,GBHMU1200210
14,"A Good Song Never Dies","Saint Motel",120,7A,81,2021-09-11,03:21,63,"","The Original Motion Picture Soundtrack",2021-06-25,68,5,0,56,0,0,-4,D Minor,4,5K43AHQPTJTqlyRZ3uBGKz,USAT22000985
15,"80s Mercedes","Maren Morris",91,11B,83,2021-09-11,03:31,58,"country","HERO (Deluxe Edition)",2017-03-17,49,7,0,66,0,20,-5,A Major,4,58spuRyMUsjKHQHEGwLC99,USG4X1500777
16,"American Teen","Khalid",100,8B,62,2021-09-11,04:10,61,"","American Teen",2017-04-27,66,7,0,21,0,30,-7,C Major,4,312WNtMs3F28cUukaPY9bo,USRC11602480
17,"8TEEN","Khalid",105,3B,59,2021-09-11,03:48,73,"","American Teen",2017-04-27,83,23,0,64,0,0,-6,C♯/D♭ Major,4,5bgwqaRSS3M8WHWruHgSL5,USRC11700146
18,"Young Dumb & Broke","Khalid",137,3B,54,2021-09-11,03:22,84,"","American Teen",2017-04-27,80,20,0,39,0,10,-6,C♯/D♭ Major,4,5Z3GHaZ6ec9bsiI5BenrbY,USRC11700144
19,"Dog Days Are Over","Florence + The Machine",150,9B,81,2021-09-11,04:11,77,"baroque pop","Lungs (Deluxe Edition)",2009-00-00,49,4,0,25,0,10,-5,G Major,4,1YLJVmuzeM2YSUkCCaTNUB,GBUM70900209
20,"Good Life","OneRepublic",95,2B,69,2021-09-11,04:13,76,"soft pop","Waking Up",2009-01-01,63,8,0,65,0,10,-8,F#/G♭ Major,4,6OtCIsQZ64Vs1EbzztvAv4,USUM70999110
21,"Ends of the Earth","Lord Huron",121,12B,58,2021-09-11,04:44,1,"","Lonesome Dreams",2012-10-08,56,27,2,41,0,20,-9,E Major,4,4yyg2J2uXOjCtCyT64984C,US53Q1200031
22,"My Kind of Woman","Mac DeMarco",92,11A,77,2021-09-11,03:10,83,"indie, lo-fi indie","2",2012-10-16,50,0,49,46,0,10,-7,F#/G♭ Minor,4,6jgkEbmQ2F2onEqsEhiliL,QMMZN1200053
23,"Chamber Of Reflection","Mac DeMarco",131,1B,56,2021-09-11,03:51,84,"indie, lo-fi indie","Salad Days",2014-04-01,54,26,91,51,0,10,-9,B Major,4,7H7NyZ3G075GqPx2evsfeb,QMMZN1300568
24,"Day Tripper - Remastered 2015","The Beatles",137,11A,78,2021-09-11,02:49,58,"classic rock, psychedelic rock","1 (Remastered)",2000-11-13,67,12,0,73,0,10,-8,F#/G♭ Minor,4,29b2b96jozyD9GPCkOrVLs,GBUM71505892
25,"Oxford Comma","Vampire Weekend",120,8B,72,2021-09-11,03:15,57,"indie, baroque pop","Vampire Weekend",2008-01-29,69,11,0,97,0,0,-4,C Major,4,0ful4PHfTIxzXiZSZsXQ0H,GBBKS0700526
26,"Harmony Hall","Vampire Weekend",98,1B,76,2021-09-11,05:08,61,"indie, baroque pop","Father of the Bride",2019-05-03,65,48,0,60,0,0,-6,B Major,4,39exKIvycQDgs4T6uXdyu0,USSM11900111
27,"Campus","Vampire Weekend",163,9B,70,2021-09-11,02:56,58,"indie, baroque pop","Vampire Weekend",2008-01-29,64,22,9,65,0,0,-6,G Major,4,1eNrlXlW7Cj1QB1YUcZmpb,GBBKS0700530
28,"Come Together - Remastered 2009","The Beatles",165,8A,38,2021-09-11,04:19,80,"classic rock, psychedelic rock","Abbey Road (Remastered)",1969-09-26,53,3,25,19,0,0,-12,A Minor,4,2EqlS6tkEnglzr7tkKAAYD,GBAYE0601690
