#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Sweet Talk","Saint Motel",117,3B,84,2020-09-07,03:12,63,"","saintmotelevision",2016-10-21,67,4,0,71,0,20,-4,C♯/D♭ Major,4,6kcHg7XL6SKyPNd78daRBL,USAT21602338
2,"Hot Rod","Dayglow",140,9B,77,2020-09-07,03:24,1,"indie rock","Fuzzybrain",2019-11-14,71,3,0,83,0,10,-7,G Major,4,0zePbRMJ9sd7wsZRlbPQua,TCADU1861897
3,"Why Not Me","Forrest.,Biskwiq",146,9B,72,2020-09-07,03:15,48,"","Warm",2018-07-01,91,48,0,70,30,50,-7,G Major,4,1gewwJHPkvysxLEGgOKQuB,QZDA51860479
4,"You Know It","Colony House",158,5B,96,2020-09-07,03:02,34,"","You Know It",2016-06-24,40,4,0,57,10,10,-3,D#/E♭ Major,4,1begrRmOMxZvLjUvFSUaEj,QMTAA1600045
5,"Honeypie","JAWNY",115,4A,68,2020-09-07,02:15,0,"bedroom pop","Honeypie",2019-04-25,74,7,0,93,10,10,-5,F Minor,4,6JqYhSdTE4WbQrMXxPH5cD,GBKPL1946902
6,"Tongue Tied","GROUPLOVE",113,5B,94,2020-09-08,03:38,80,"indie","Never Trust a Happy Song",2011-09-02,56,1,0,37,0,10,-6,D#/E♭ Major,4,0GO8y8jQk1PkHzS31d699N,USAT21101334
7,"Parents House","Kid Bloom",110,8B,57,2020-09-09,03:44,35,"","Parents House",2018-04-06,76,54,0,71,0,10,-6,C Major,4,4qOIb1qgiCGhaQVaZLG4QI,QZAKN1700011
8,"OK","Wallows",102,9B,63,2020-09-09,03:13,61,"indie","OK",2020-03-20,72,1,1,82,0,10,-6,G Major,4,0APAKxMXB7jdDs4kw1l30y,USAT22000802
9,"Friends","Sure Sure",91,1B,72,2020-09-10,02:47,41,"","Sure Sure",2018-01-12,78,37,1,97,0,0,-5,B Major,4,0aPX1AXz8Tp51Nak6B04ij,SE3OH1731746
10,"Baseball","Hippo Campus",112,11B,92,2020-10-02,03:18,0,"","Warm Glow",2017-09-12,60,0,0,58,0,10,-4,A Major,4,4oavKn8h2QaYQxO5okoMSW,QM5BK1700173
11,"Something For Your M.I.N.D.","Superorganism",140,10B,54,2020-10-04,02:45,59,"art pop","Superorganism",2018-03-02,70,13,0,66,10,20,-4,D Major,4,4rCKRVJZKVysScn2piDuOT,GBCEL1700514
12,"Birds Dont Sing","TV Girl",107,9B,94,2020-11-03,03:29,0,"","French Exit",2014-06-05,61,2,0,81,0,10,-5,G Major,4,0V34LU5aBA3hYgq178hFFY,ushm21438136
13,"Come and Get Your Love - Single Version","Redbone",107,10A,80,2021-03-16,03:25,81,"native american music","Come and Get Your Love",1973-11-01,73,17,0,96,0,0,-8,B Minor,4,7GVUmCP00eSsqc4tzj1sDD,USSM17300653
14,"Bad Times","Ra Ra Riot",148,2B,83,2020-11-17,03:35,24,"baroque pop","Need Your Light",2016-02-19,60,1,0,73,0,0,-4,F#/G♭ Major,4,5kcBMa433Rjze8UBsa0mq1,USBS51500127
15,"Let Me In - From The Fault in Our Stars Soundtrack","GROUPLOVE",128,2B,74,2020-11-18,03:59,45,"indie","Let Me In",2014-04-29,48,0,0,16,0,10,-7,F#/G♭ Major,4,4WUduEPZZG6wiE9B5IklnY,USAT21401439
16,"Window","Still Woozy",91,9A,48,2020-12-06,02:19,55,"bedroom pop","Window",2020-04-17,71,44,0,67,20,20,-9,E Minor,4,3hARuUtzTdUuWH1KiLJlSf,USUG12001158
17,"If You Know That I'm Lonely","FUR",146,9B,54,2021-02-21,02:46,0,"","If You Know That I'm Lonely",2017-09-06,39,56,0,62,0,20,-6,G Major,4,0lvosDfrUEI07fTwQotQOv,GBKPL1788230
18,"Gold Snafu","Sticky Fingers",102,8B,85,2021-03-17,03:38,0,"surf rock","Land Of Pleasure",2014-08-01,66,0,0,84,0,0,-6,C Major,4,6jj5kO7tFT3ir8WbbVO0iU,AUMGB1400038
19,"Windows","Jaypitts",172,4A,73,2021-03-19,02:58,0,"","Windows",2020-08-28,80,40,0,84,20,10,-7,F Minor,4,1h27BIK3pnULp2uH7rSAEd,QZMWW2078656
20,"Raspberry","GROUPLOVE",105,5B,78,2021-03-28,03:16,57,"indie","Spreading Rumours",2013-09-17,49,3,0,45,0,10,-5,D#/E♭ Major,4,1F5A4LpF8ylUVtPoMAvNvn,USAT21301610
21,"Davy Crochet","The Backseat Lovers",124,8B,44,2021-04-02,02:56,60,"","When We Were Friends",2019-01-27,74,16,0,62,0,10,-11,C Major,4,1w9B61OdLdnjzZIUYmy0bd,USCGH1936389
22,"Riot!","Earl Sweatshirt",167,9A,62,2021-07-12,01:06,62,"experimental hip hop, alternative hip hop","Some Rap Songs",2018-11-30,49,83,35,57,0,30,-2,E Minor,4,6cmt9CRoK0KGcNg9Tpje53,USQX91802522
23,"The Way You'd Love Her","Mac DeMarco",92,3B,50,2021-07-12,02:36,0,"indie, lo-fi indie","Another One",2015-08-07,64,59,6,94,0,30,-9,C♯/D♭ Major,4,1hYz27mkvDvokNzyTyqUru,QMMZN1300872
24,"Heart It Races - Cover Version","Dr. Dog",99,6B,47,2021-07-12,03:53,0,"","Heart It Races",2007-06-05,71,44,6,76,0,30,-13,A#/B♭ Major,4,2vupkXhwL4sNCRgNu72HCZ,QMFME1528618
25,"A Piper For Janet","Cosmo Pyke",150,11A,43,2021-07-19,04:39,41,"bedroom pop","A Piper For Janet",2020-11-27,69,21,0,48,0,20,-8,F#/G♭ Minor,3,7hGlI6hbIMilmP4szdfRqa,GBLFP2107330
26,"Break up Together","Theo Katzman",104,7B,41,2021-10-02,03:27,40,"retro soul","Heartbreak Hits",2017-01-06,87,56,0,89,0,10,-11,F Major,4,5xRlNALFbZ7gaWGlySwfTM,TCACU1609254
27,"Ghost Ship","Blur",140,10B,72,2022-01-30,04:59,55,"britpop, madchester, alternative rock","The Magic Whip",2015-04-20,80,3,0,86,0,0,-6,D Major,4,61JDaStnXY3vbaEjliB5WA,GBAYE1500264
28,"Don't Yah Feel Better","The Velveteins",119,12B,75,2022-04-16,02:29,0,"","Don't Yah Feel Better",2016-12-02,69,23,1,70,0,10,-7,E Major,4,6JOb6yWGNgG5ZEOUmdT8nz,CACB11600056
29,"Dern Kala","Khruangbin",87,11B,65,2022-06-10,03:39,0,"neo-psychedelic","The Universe Smiles Upon You",2015-11-06,63,2,88,67,0,10,-11,A Major,4,47FmTHqPWGWEfbgDpLjvCt,GB5EM1501515
30,"My Outside - Live at Funkhaus, 2019","Alice Phoebe Lou",156,1A,50,2022-06-30,03:15,0,"","Live at Funkhaus",2020-05-01,37,57,0,51,10,20,-10,G#/A♭ Minor,3,1AaZUjR5b0FEu0OjwfVXgs,GBKPL2099083
31,"Liquor Store","Remi Wolf",182,12A,62,2022-07-27,02:52,0,"","Liquor Store",2021-07-20,63,3,0,56,0,0,-7,C♯/D♭ Minor,4,17NlAopmbL9vdVKR8nSfbz,USUG12102506
32,"Pet Shop Eyes","The Growlers",116,7B,84,2022-07-29,03:33,0,"surf rock","Hung At Heart",2013-01-23,46,41,50,85,0,60,-3,F Major,4,6QgPBFvt3r9LeZDL5YsgJO,USER81203607
33,"The American Dream Is Alive in Mexico","Mood Beach",112,12A,85,2022-11-08,04:36,33,"","Failing St.",2016-05-22,65,0,0,95,0,90,-7,C♯/D♭ Minor,4,7BSyXxXtwZhP5uFap2ut24,QM4DW1679793
34,"Not but for You, Bunny","Sidney Gish",100,5A,42,2022-11-14,04:02,41,"bedroom pop","No Dogs Allowed",2017-12-31,80,71,1,95,0,0,-12,C Minor,4,2J2kGyvyVyOKEJgBCPE1oO,QZAPG1807821
35,"Hollywood Witches","Woody and Jeremy",92,3B,32,2022-11-29,03:56,37,"","Strange Satisfaction",2020-03-13,77,19,0,52,0,0,-7,C♯/D♭ Major,4,6QIOzVmSfjMLWuur4e3BAv,QZFZ22026890
36,"Someday","The Strokes",106,11B,52,2023-01-13,03:03,69,"garage rock, indie rock, alternative rock","Is This It",2001-07-30,54,0,0,68,0,30,-7,A Major,4,7hm4HTk9encxT0LYC0J6oI,USRC10100769
37,"Asc. Scorpio","Oracle Sisters",80,10B,60,2023-03-14,02:46,0,"","Asc. Scorpio",2020-03-11,76,7,1,82,0,10,-7,D Major,4,13zkVsNIyXsagdlbg7ulWO,FR10S2030813
38,"From Eden - Live in America - Spring/Summer 2015","Hozier",153,8B,78,2023-03-16,04:28,28,"","Live in America",2015-07-31,35,46,0,53,0,90,-5,C Major,5,6zEm9ZQyrrBj8q6Ajcuz2H,USSM11505351
39,"Back Pocket","Vulfpeck",90,10B,59,2023-04-10,03:01,51,"funk, funk rock","Thrill of the Arts",2015-10-09,84,48,0,89,10,0,-8,D Major,4,1DrlLvlYd1FIjNavRm6NdX,TCACH1515840
40,"Fly","Sugar Ray",100,3B,65,2023-04-23,04:04,70,"","Floored",1997-06-20,84,2,23,67,0,30,-8,C♯/D♭ Major,4,3uPfVXcjnpOjyzI3jb3js4,USAT29700344
41,"Love Is Strange - Remastered 2018","Wings",122,12B,45,2023-06-29,04:50,42,"","Wild Life",1971-12-07,82,1,0,84,0,10,-10,E Major,4,76c5cWYXWl3u9pDcltf0aT,GBCCS1800007
42,"LDN","Lily Allen",100,7B,61,2023-09-04,03:12,40,"","Alright, Still",2006-07-17,67,1,0,90,0,30,-8,F Major,4,3FZ8G9EIDo1QragepaKxq4,GBAYE0600491
43,"Stay, Pt. 2","extremely bad man,Alexis Moraites",81,2B,96,2023-09-07,02:26,34,"","Stay, Pt. 1 &, Pt. 2",2018-06-29,54,10,0,82,0,20,-5,F#/G♭ Major,4,5L3Drv6map6yFjZvYfMJiX,GBKPL1808741
44,"Forrest Gump","Frank Ocean",95,11A,42,2023-09-20,03:14,0,"","channel ORANGE (Explicit Version)",2012-07-10,70,9,0,19,0,30,-8,F#/G♭ Minor,4,6RBAJlxHY9Ulvw2y7yk4aX,USUM71207191
45,"Rhythm of My Heart","Rod Stewart",95,3B,54,2023-10-09,04:14,61,"soft rock","Vagabond Heart (Expanded Edition)",1991-00-00,58,6,0,43,0,10,-11,C♯/D♭ Major,4,6pceknxOgA22HKs99yPEm1,USWB10807931
46,"Youth Of Today","Musical Youth",150,4B,42,2023-10-20,02:55,40,"reggae","The Youth Of Today",1982-10-22,74,14,0,97,0,0,-15,G#/A♭ Major,4,4GoBCdgyWu88SUaR7zJrAq,GBBBY0300025
47,"Genius of Love","Toro y Moi,Brijean",103,9B,77,2024-09-08,03:25,34,"chillwave, ","Genius of Love",2024-05-17,78,4,0,97,0,20,-6,G Major,4,0UMfconu33lpuioJ696nKv,QMB622402615
48,"Can't Stop","Red Hot Chili Peppers",91,11B,94,2024-09-08,04:29,89,"funk rock, alternative rock, rock","By the Way (Deluxe Edition)",2002-07-09,62,2,0,88,0,10,-3,A Major,4,3ZOEytgrvLwQaqXreDs2Jx,USWB10201694
