#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"September Song","Agnes Obel",149,8B,10,2021-01-31,03:22,0,"","Aventine (Deluxe Version)",2014-10-06,20,93,76,13,0,10,-27,C Major,4,49iSYnIgA9P8EVH6M8uu2E,BEP011400295
2,"Nocturne in C-sharp minor, B. 49","Frédéric Chopin,Brigitte Engerer",72,11A,0,2021-01-31,03:59,59,"classical piano, classical","Chopin: Complete Nocturnes",2010-06-22,28,99,90,19,0,0,-32,F#/G♭ Minor,4,0bcGY7mfG10QfeaDbz97hC,FRZ149738100
3,"Moonlight Sonata","Lima Musica",72,12A,1,2021-01-31,06:09,4,"classical","Classical Is Sexy - The Beethoven Sessions",2018-05-04,20,100,88,20,0,0,-37,C♯/D♭ Minor,4,0zorwBmWVxbKbPnMXNM8Jc,USY251811819
4,"3 Nocturnes, Op. 9: I. Larghetto","Frédéric Chopin,Brigitte Engerer",74,3A,1,2021-01-31,05:52,45,"classical piano, classical","Chopin: Complete Nocturnes",2010-06-22,34,99,90,4,0,0,-29,A#/B♭ Minor,4,4pTB18dbtjTTCLkybdylX6,FRZ149220010
5,"Sprites Of The Moor","Emile Franck",173,7B,2,2021-01-31,03:00,45,"","Sprites Of The Moor",2020-02-28,29,100,94,12,0,10,-26,F Major,3,6uSAPAnkFuSaL4f74KtBmD,SE5ZO2000701
6,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2  Moonlight : I. Adagio sostenuto","Ludwig van Beethoven,Jenő Jandó",163,12A,1,2021-01-31,05:15,59,"classical, classical piano, chamber music","Beethoven: Piano Sonatas Nos. 8, 14 and 23",1988-03-07,21,100,87,15,0,10,-38,C♯/D♭ Minor,3,5t0E9V1RiHBflzs71pfGGG,HKI199214304
7,"Clair de Lune, L. 32","Claude Debussy,Martin Jones",66,3B,1,2021-01-31,04:28,67,"impressionism, classical, classical piano","Debussy: Clair De Lune and Other Piano Favourites",1994-00-00,34,99,91,4,0,0,-32,C♯/D♭ Major,4,5u5aVJKjSMJr4zesMPz7bL,GBAJU8800160
8,"A quiet prayer","AURORA",128,6A,3,2021-01-31,02:27,0,"","Winter sunset",2016-02-22,69,100,96,27,0,10,-23,G Minor,4,0G4fVt9ZAoL92hidiExuIh,KRC091717555
9,"Dawn - From  Pride & Prejudice  Soundtrack","Dario Marianelli,Jean-Yves Thibaudet",79,8B,5,2021-01-31,02:38,59,"soundtrack, score, classical piano, impressionism, classical","Pride and Prejudice OST",2005-01-01,33,99,89,10,0,0,-24,C Major,3,0EHJOhOakEiobXo81vegdy,GBEKZ0500051
10,"Miroirs: III. Une barque sur l'océan","Maurice Ravel,André Laplante",76,10B,5,2021-01-31,07:08,60,"impressionism, classical, classical piano, neoclassical","Ravel: Miroirs, Jeux D'Eau, Pavane Pour Une Infante Défunte",1994-00-00,17,98,91,3,0,0,-27,D Major,3,4JOEMgLkrHp8K1XNmyNffH,USA370523048
