#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"but im just","LochHaven",79,3B,11,2026-02-13,01:28,26,"slowcore, dark ambient","fragments of paradise",2026-01-16,34,99,65,34,0,10,-21,C♯/D♭ Major,3,6FCL4voA16bNTD4NTWjNkE,QZYB22593376
2,"magic","Medasin,MAE.SUN,Sara Kawai",85,8A,16,2026-02-13,05:56,68,"future bass, ","sounds",2024-03-22,9,96,91,7,0,20,-26,A Minor,3,2fJcCZXjaPx86LQymV6Ufu,QMANG2229186
3,"sling","Other Nothing",65,10B,0,2026-02-13,01:27,21,"","sling",2025-05-14,18,86,67,35,0,10,-31,D Major,5,0vy51znVN1Bu5mviXQDauY,QZNWX2508180
4,"you're my flame","limly",75,10B,24,2026-02-13,01:16,38,"slowcore","you're my flame",2026-01-23,23,87,85,3,0,10,-21,D Major,4,02SCDDrXcCWia7HptL6pE6,QZ5FN2634824
6,"am i happy here","Kazukii,LochHaven",135,9B,16,2026-03-06,02:24,30,"chillstep, dark ambient, ambient, slowcore","am i happy here",2026-03-06,21,90,88,4,0,10,-22,G Major,3,7cOuK3y3p0weo26bRve1b6,USLZJ2600213
7,"tangled","tomcbumpz",186,3B,4,2026-02-13,01:17,40,"lo-fi hip hop","comfortable silence",2023-01-25,39,97,88,18,0,10,-26,C♯/D♭ Major,4,11DvInq3kTwpMu1Kh0OnLK,QZTBB2205471
10,"fragments of paradise","LochHaven",81,12B,22,2026-02-13,01:57,25,"slowcore, dark ambient","fragments of paradise",2026-01-16,24,94,78,9,0,50,-23,E Major,4,3wzToLd3jimNZoMCF62kbk,QZYB42557887
11,"soft hearts 2","your warm arms",80,3B,24,2026-02-13,01:27,39,"slowcore","just existing",2024-12-13,30,98,94,5,0,10,-21,C♯/D♭ Major,4,0SoJON45cPQJoFGBZE3E0Y,QZZEB2486590
12,"All I Can Do","gone like summer,énouement",121,8B,4,2026-02-13,01:04,27,"slowcore, dark ambient, ambient","All I Can Do",2026-02-13,17,82,98,3,0,10,-22,C Major,1,38SA72unySdMqJZ4aXZcPp,QZ5FN2680734
13,"i had a feeling","tomcbumpz,drezzdon",123,10B,12,2026-02-13,01:50,53,"lo-fi hip hop, ","the feeling of...",2025-05-02,18,64,84,3,0,0,-16,D Major,3,4XWY9VWGGGLrgHfZ4vSj1I,QZMER2551122
14,"how much i loved you","limly,les",134,9B,4,2026-03-06,01:40,39,"slowcore, dark ambient, ambient","how much i loved you",2026-03-06,15,87,71,9,0,10,-23,G Major,4,1z4Bb7fMS45jEGxzMvC6in,USLZJ2605161
15,"gone by morning","grunvhaze",79,11A,11,2026-03-20,01:46,9,"","gone by morning",2026-02-04,27,92,48,3,0,10,-22,F#/G♭ Minor,4,6YC2h3SSwrwJcm43H3WEhI,QZES52695643
16,"a book about stormy weather","sacred",139,2B,0,2026-02-13,01:11,31,"slowcore","all our friends tell lies",2025-08-01,17,99,90,4,0,10,-32,F#/G♭ Major,4,6a87yf9sfCVf7qCWxyhBxO,QZWFL2513829
17,"i love you.","Blu Velvet",151,3B,5,2026-03-13,01:42,31,"ambient, dark ambient","i love you.",2026-03-13,12,86,94,24,0,10,-25,C♯/D♭ Major,3,7bV3SePIXOq3Hi4gECZfqt,USLZJ2650852
18,"A Dream","Flatsound",74,12B,1,2026-02-13,02:50,68,"spoken word, midwest emo","Somewhere in the Distance, Somewhere Toward the Mountains",2019-02-21,6,86,54,12,0,10,-37,E Major,3,3AYF9Sza9xsI7Zr3WXsAWA,TCAEC1962798
19,"Ww","Other Nothing",73,7B,3,2026-02-13,01:33,64,"","Not Songs",2019-06-28,18,95,83,4,0,10,-30,F Major,4,1n8juytMGEpvomCkmc7l1r,SE6A91943931
20,"staring contest","tomcbumpz",68,3B,3,2026-02-13,01:25,44,"lo-fi hip hop","don't look down",2023-11-06,36,96,91,7,0,10,-26,C♯/D♭ Major,4,5X3KZZrT6nBpwSBr0SY26L,QZTBA2314639
21,"If It Isnt","sacred",217,10B,13,2026-02-13,01:02,33,"slowcore","If It Isnt",2025-03-16,54,81,97,11,0,10,-19,D Major,4,2V3CiYOAjIhGxYumr7EOCB,QZHNC2559922
22,"Missing Pieces","Flawed Mangoes",154,3B,38,2026-02-13,03:21,0,"","The Unwavering Hand",2024-09-25,47,89,86,13,0,10,-13,C♯/D♭ Major,4,7J8NRiotZlWOT9t3ZnVeAc,QZZ4J2400444
23,"out of orbit","tomcbumpz",80,3B,12,2026-02-13,01:09,37,"lo-fi hip hop","the warmth of a thousand flames",2025-03-03,18,98,87,4,0,10,-22,C♯/D♭ Major,1,2hgpzM6ixyTxb4l3A2TmNx,QZDA82546302
24,"holding myself","LochHaven",139,11A,14,2026-02-13,01:19,22,"slowcore, dark ambient","fragments of paradise",2026-01-16,27,98,95,6,0,10,-24,F#/G♭ Minor,4,0yQL4c0bdkB5KHbKUNdHgG,QZH5E2576734
25,"velveteen","limly",78,2A,8,2026-02-13,01:29,39,"slowcore","velveteen",2026-01-16,14,96,68,4,0,10,-25,D#/E♭ Minor,3,2HQ669dPTsI6tkFKNnJ2eV,QZ5FN2616590
26,"fading light","friendly to crows,LochHaven",123,11B,35,2026-02-13,03:10,56,"slowcore, dark ambient","fading light",2025-07-18,17,79,67,8,0,30,-22,A Major,4,5bIID8kUOUO2ByvBXSU9sD,US3DF2585015
27,"Limerence","Yves Tumor",182,4B,32,2026-02-13,05:29,63,"","Mono No Aware",2017-03-17,33,89,21,72,0,10,-17,G#/A♭ Major,3,2wiV5iKq5F5A0KUee4OrlK,DEX261601435
28,"Killswitch Lullaby (Slowed + Reverb)","The Lonely Tree,Flawed Mangoes",107,8A,17,2026-02-13,02:46,63,"","Killswitch Lullaby (Remixes)",2024-01-10,61,94,94,42,0,10,-21,A Minor,3,6UEavK4FwqZNqQU59DtA2E,QM3DF2435847
29,"we will soon meet again","les",71,10B,0,2026-02-13,02:04,52,"dark ambient, slowcore, ambient","we will soon meet again",2024-11-01,10,96,95,3,0,10,-33,D Major,4,1mWyKdhpiUuopsZbLPiJU4,USANG2480092
30,"trying my best","Gimli",171,8B,7,2026-02-13,01:22,47,"","trying my best",2025-11-07,9,79,91,4,0,10,-25,C Major,3,6ihTArP1GSxxpVeCysucpg,QZZ8B2565709
31,"Swimming","Flawed Mangoes",164,11B,37,2026-02-13,03:08,68,"","Swimming",2024-01-10,50,91,91,64,0,10,-13,A Major,4,0sTjyzgd2K5htQpU8ienNe,QZWFR2321377
32,"like cats & dogs","tomcbumpz",151,3B,4,2026-02-13,01:05,31,"lo-fi hip hop","don't look down",2023-11-06,29,98,83,25,0,10,-30,C♯/D♭ Major,4,4Udk5XNwCks4aGcDqdwzBE,QZTBA2314642
33,"i dream for","LochHaven",111,11B,53,2026-02-13,01:29,18,"slowcore, dark ambient","fragments of paradise",2026-01-16,31,92,96,9,0,10,-14,A Major,4,5Y6VYHEBBJpPE5mjeHr5RY,QZFP52512486
34,"illusions","aqualina",67,10B,2,2026-02-13,03:16,54,"","illusions of happiness",2019-07-28,31,98,87,8,0,10,-30,D Major,4,6mTMVsvY0WLLk6uBfBVtcW,QZFZ41920643
