#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Sedona","Houndmouth",135,5B,65,2021-06-15,03:59,67,"","Little Neon Limelight",2015-03-17,39,4,0,26,0,10,-8,D#/E♭ Major,4,2MQhTbX792AT6YyzwLz9dt,GBCVZ1403597
2,"Hope They Love You","Wingtip",170,4B,63,2021-06-15,02:55,0,"","Hope They Love You",2021-04-02,64,58,0,63,0,10,-7,G#/A♭ Major,4,3HMsXNChCvgMHlwfrsUJtC,QZN882116552
3,"Come To The Beach","Winnetka Bowling League",170,9B,80,2021-06-15,02:58,37,"","Come To The Beach",2020-08-12,46,3,0,64,20,0,-5,G Major,4,3cwrYbdU4eJkVXiH2USGid,USRC12001108
4,"Strawberry Sunscreen","Lostboycrow",120,4B,68,2021-06-15,02:09,0,"","Valleyheart",2021-01-29,69,4,0,91,0,0,-4,G#/A♭ Major,4,49cxhSfgKouZSShpBEtN3r,QM24S2007265
5,"So, This is Living.","joshua epithet",75,10A,85,2024-03-11,03:28,19,"","So, This Is Living.",2024-03-07,39,0,0,54,0,10,-6,B Minor,4,24OFGZIl2hXISj7kSVFOSl,AULI02456090
6,"Boy Friday","Rebounder",97,7B,52,2022-11-27,03:03,0,"","Boy Friday",2022-06-22,71,8,2,96,0,0,-9,F Major,4,2ARg1Up4AchSSdt9uWtKKM,QZNB82229822
7,"Ocean Man","Ween",123,12B,91,2021-06-15,02:06,70,"neo-psychedelic","The Mollusk",1997-04-18,72,55,0,97,0,10,-6,E Major,4,6M14BiCN00nOsba4JaYsHW,USEE19701313
8,"Off My Mind","Joe P",112,8B,69,2021-06-15,03:33,0,"","Off My Mind",2021-05-12,57,31,0,75,0,10,-7,C Major,4,3X91uoqAVtHmqv1bvZbNog,QM24S2102212
9,"Queen of California","John Mayer",83,12B,74,2021-06-15,04:09,58,"singer-songwriter","Born and Raised",2012-05-21,54,64,45,71,0,0,-11,E Major,4,0CETmgFGt8Ne8vLnaLcduU,USSM11201476
10,"Every Way (Supernatural)","Stephen Day",120,9B,36,2021-06-15,03:43,16,"pop soul","Every Way (Supernatural)",2020-08-28,68,27,82,31,0,10,-10,G Major,4,075uePuMwWGQacfAyIK5d1,TCAFA2042490
11,"Baby Blue","Rence",120,9B,41,2022-05-30,03:28,49,"","Baby Blue",2019-06-18,52,90,0,8,0,10,-9,G Major,4,1eA6HGJ1qZXEL7NIFKYrXK,QZAPG1892011
12,"All Into Nothing","R3HAB,Mokita",100,11B,76,2021-06-15,02:41,0,"slap house, edm, ","All Into Nothing",2018-12-07,57,4,0,21,0,30,-7,A Major,4,6KQxGfOdjHMh5wT15t0gJj,NLW4L1800079
13,"Dream Girl","Anna of the North",79,5A,49,2021-06-15,02:31,36,"","Dream Girl",2019-10-25,67,74,0,54,0,0,-6,C Minor,4,568ZnkQDsn09lX1FXn7a4Q,QMCE31902422
14,"Falling Up","MTNMEN",127,10A,62,2022-05-30,03:41,25,"","Falling Up",2019-07-26,66,5,2,67,0,0,-8,B Minor,4,67OqLk7tD4Pqer2qiWZybQ,QZFZ21980391
15,"Light Year (feat. Lennon Stella)","Adam Melchor,Lennon Stella",168,5B,50,2021-06-15,03:08,42,"","Light Year (feat. Lennon Stella)",2021-04-28,40,50,4,52,0,10,-9,D#/E♭ Major,4,7CS9hRKJNmBGWUowSjhedb,USWB12101013
16,"Habit","Spectre Jones",114,10B,58,2022-05-24,04:49,28,"","Habit",2019-12-06,66,4,0,75,0,0,-6,D Major,4,6KFRPery4wi6VKgoj0Z82S,QZHZ41988660
17,"Eyes on You","Mosaic MSC",128,7B,25,2021-06-15,03:56,30,"worship, christian","Heaven",2018-09-14,28,71,0,8,0,10,-11,F Major,4,2q0UHOP7ePGLcqjwF9wBSV,USA5W1800170
18,"Heartworks","Wingtip",105,7B,53,2021-06-15,02:39,0,"","Heartworks",2019-10-02,78,13,0,75,0,0,-7,F Major,4,17onAqgx91Bp9MXtF4TvJ8,QZJG51919824
19,"One More Weekend","Maude Latour",131,5B,56,2021-06-15,02:22,0,"indie pop","One More Weekend",2020-07-24,62,54,0,53,10,20,-7,D#/E♭ Major,3,4jNRzwGdqkcF11lAvdVHu2,QZC5P1800248
20,"Starlit Afternoon","Craig Stickland",126,4B,41,2021-06-15,03:33,0,"","Starlit Afternoon",2020-02-28,58,67,0,7,0,10,-11,G#/A♭ Major,4,7IKwSGK9TCujwRbfhaqVr9,CAK471900201
21,"Dreaming, backwards","Ella Vos",108,2B,54,2021-06-15,03:33,0,"","Turbulence",2020-07-31,54,9,2,33,0,10,-7,F#/G♭ Major,4,1BOLqjrrdHyg5OizFQ6Fad,GBKPL2005631
22,"The Kiss Of Venus (Dominic Fike)","Paul McCartney,Dominic Fike",90,4B,37,2021-06-15,02:23,50,"","The Kiss Of Venus (Dominic Fike)",2021-03-11,72,63,0,63,0,10,-7,G#/A♭ Major,4,3gCYle76USfbHa7VDTDg5V,GBCCS2100002
23,"17","Pink Sweat$",130,7B,36,2021-06-15,02:40,29,"","The Prelude",2020-07-17,65,17,0,27,0,10,-9,F Major,4,6IVzptSWd9G6vgVCZ7kne6,USAT22000857
24,"Donna","The Lumineers",134,12B,25,2021-06-15,03:05,0,"folk pop, indie folk","III",2019-09-13,49,96,0,28,0,10,-10,E Major,4,3ZkleTkBBKIPKJh9jIqT7s,USDMG1995101
25,"Falling Asleep At The Wheel","Holly Humberstone",122,8B,63,2021-06-15,03:23,54,"","Falling Asleep At The Wheel",2020-03-19,66,74,0,32,20,20,-8,C Major,4,5rqQv5jUcg58xsi1nuZDl9,UKW522000002
26,"FEEL LIKE","Josh Fudge",105,7B,73,2021-06-15,03:08,0,"lo-fi indie, bedroom pop","FEEL LIKE",2021-02-26,59,11,20,70,0,50,-7,F Major,4,0jJGplHmOPpams1xAV2vhg,QZFZ42192380
27,"Stargazing","The Neighbourhood",160,8B,48,2021-06-15,03:37,70,"","Chip Chrome & The Mono-Tones (Deluxe)",2020-12-11,51,0,0,37,0,10,-8,C Major,4,0VF7YLIxSQKyNiFL3X6MmN,USSM12006844
28,"Someone Else’s Dream","Absofacto",94,12A,76,2021-06-15,03:20,38,"","Someone Else’s Dream",2020-09-10,55,9,0,58,0,30,-3,C♯/D♭ Minor,4,0N7uBJVtUegyKXKegKgjHX,USAT22003801
29,"Strangers","Wingtip",120,12B,65,2021-06-15,02:46,0,"","Strangers",2020-05-22,84,24,0,80,0,0,-10,E Major,1,2gfTJc2ISxXz7KmsvN8W46,QZC5P1800161
30,"Golden","Harry Styles",140,9A,84,2021-06-15,03:28,79,"","Fine Line",2019-12-13,45,21,0,25,0,10,-5,E Minor,4,45S5WTQEGOB1VHr1Q4FuPl,USSM11912586
31,"Let Down","Michigander",129,6B,91,2021-06-15,02:56,39,"","Let Down",2020-09-10,47,6,0,18,0,0,-3,A#/B♭ Major,4,6zvpLxTrTKDzdeQ9OLshpQ,TCAFA2087910
32,"Get You High","HARBOUR",170,8B,74,2021-06-15,03:54,0,"","Heatwave",2017-08-04,46,4,0,43,0,30,-6,C Major,4,1YAk839AZQjTDp7vT0f3Tm,TCADE1723392
33,"Honey","Rook Monroe",115,11B,71,2021-06-15,02:28,0,"","Honey",2020-11-06,70,33,0,39,0,20,-6,A Major,4,658qcSLPvoU4IZJhjxPHRo,USLD91729421
34,"Morning","Tennis Club",60,10B,49,2021-06-15,04:01,0,"","Morning",2020-07-01,35,31,0,18,0,10,-6,D Major,3,1xPYXQ677AtLALqqQM8jVR,GBKPL2009672
35,"Balenciaga","New West",78,8B,70,2021-06-15,03:28,0,"","Balenciaga",2020-06-26,34,47,0,29,0,10,-7,C Major,4,7y7ExXQ8gjfE9x2toP7YbJ,TCAEY2040177
36,"Float","HARBOUR",145,1B,80,2021-06-15,04:31,0,"","Thoughts on Letting Go",2019-09-02,55,4,0,34,0,10,-6,B Major,4,3W0C4mIyVaOeoBUvCJIcbj,TCAEJ1989024
37,"song i made up to stop myself from having a panic attack just now (ft. rich)","Field Medic,Rich",120,5B,5,2021-06-15,00:41,0,"","song i made up to stop myself from having a panic attack just now",2021-03-18,57,90,0,25,40,10,-15,D#/E♭ Major,5,2oe9nMUPInGrfKu6fdZjH9,QMCE71303129
38,"Cherry","Harry Styles",96,9B,51,2021-06-17,04:19,74,"","Fine Line",2019-12-13,53,62,0,41,0,10,-9,G Major,4,2IOFZdYYkFxEHVz1w34PoL,USSM11912589
39,"New Light","John Mayer",124,9B,69,2021-06-20,03:37,0,"singer-songwriter","Last Train Home",2021-06-04,83,33,4,85,0,0,-8,G Major,4,2BRcFoNaxcQupoC6IpZGeO,USSM11806100
40,"It's Called: Freefall","Rainbow Kitten Surprise",98,10B,52,2021-06-21,02:32,81,"","How to: Friend, Love, Freefall",2018-04-06,74,63,0,28,0,60,-6,D Major,4,474uVhyGgK5MtY9gMcDgGl,USAT21800165
41,"Where The Skies Are Blue","The Lumineers",132,11B,48,2021-06-22,02:20,0,"folk pop, indie folk","Cleopatra (Deluxe)",2016-04-08,57,86,0,55,0,0,-7,A Major,4,3CuscN8itbT86pQFKQMIk7,USDMG1674912
42,"Something For Nothing","Otto Knows,Klahr",88,3A,75,2021-06-22,02:44,26,"","Something For Nothing",2019-03-29,76,16,0,75,10,30,-6,A#/B♭ Minor,4,1UmQrjcdTlI9pxT1gzU1Xa,SE4YV1900201
43,"Twenty Something","Nightly",100,4A,59,2021-06-22,04:36,55,"","Talk You Down",2019-06-14,64,10,0,11,0,20,-6,F Minor,4,6Wz9rIfo9tOBcVCd1Mo7F7,USUM71903618
44,"Two 10s","Quinn XCII",72,5A,50,2021-06-22,03:37,40,"","A Letter To My Younger Self",2020-07-10,74,60,0,55,30,10,-6,C Minor,4,4skFh25hBwTL8dPXZl1Gpq,USSM11914522
45,"Sunny Someday","Reuben Fillies",120,12B,52,2021-06-22,03:28,23,"","Sunny Someday",2019-09-27,51,12,0,65,0,10,-9,E Major,4,4sJeYj3TPUatdrOSTMOY4P,TCAEK1927168
46,"Stay","Gracie Abrams",114,6B,37,2021-06-22,02:57,68,"","Stay",2019-11-21,62,88,0,43,0,10,-11,A#/B♭ Major,4,0Uon5NsSAkBDx69XYOaQ5P,USUG11903589
47,"More Than A Woman","Bee Gees",106,9B,70,2021-06-23,03:16,70,"disco","How Can You Mend A Broken Heart",2020-12-11,60,18,0,67,0,50,-6,G Major,4,2cX2coZS1PYBfPs8wgbdWE,NLF057790033
48,"AOK","Tai Verdes",82,1B,63,2021-06-23,02:53,56,"","AOK",2021-05-06,73,13,0,86,0,10,-7,B Major,4,1v3Ozpbcx2B926aVW0UuXk,USQX92101406
49,"Tattoos Together","Lauv",123,12B,40,2021-06-25,03:06,0,"","~how i'm feeling~",2020-03-06,86,1,0,60,0,10,-7,E Major,4,1Srt81FTalOhRw7t7l8Yh8,GBKPL1969293
50,"Good Nights (feat. Mascolo)","Whethan,Mascolo",101,11A,48,2021-06-28,02:45,57,"","Life of a Wallflower, Vol. 1",2018-11-09,85,44,0,28,20,0,-7,F#/G♭ Minor,4,08Kj0lvbsqAxzeUOBYZRL6,USAT21701768
51,"All My Friends Are Stoned","WizTheMc",122,11A,63,2021-06-30,02:39,0,"","What About Now - EP",2020-10-30,79,9,0,94,0,10,-4,F#/G♭ Minor,4,7BL33HmuFQien4olebugdj,QZJ842000684
52,"Look How Far We've Come","Quinn XCII",95,12B,51,2021-07-04,03:22,44,"","Change of Scenery II",2021-03-05,61,24,0,39,0,10,-8,E Major,4,1hPHr3Qc4AMBow09aw12AM,USSM12100526
53,"Falling In Love","Dennis Kruissen,Drew Love",134,1B,48,2021-07-06,02:55,47,"","Falling In Love",2016-10-05,36,1,0,15,0,10,-9,B Major,4,4qAEFnCVCqZsIcaOKQwMUj,NLF711606901
54,"Flashed Junk Mind","Milky Chance",118,1B,84,2021-07-07,04:22,0,"","Sadnecessary",2014-06-20,84,39,3,90,0,10,-9,B Major,4,5mpLcXEsk3jjzLFGuNKk5I,DEL211300732
55,"Favorite T-Shirt","Jake Scott",115,11B,56,2021-07-07,03:04,52,"","Year of the Sunflower",2019-12-06,85,11,0,88,0,10,-8,A Major,4,55p8TQ1ggGYOO1gLQrC52D,QM24S1926086
56,"Gloria","The Lumineers",78,1B,71,2021-07-08,03:36,1,"folk pop, indie folk","III",2019-09-13,52,66,0,66,0,0,-6,B Major,4,5BkGp7FLUUpKgWl29jBK0J,USDMG1995103
57,"5150","Love Fame Tragedy",180,8B,56,2021-07-09,03:09,0,"","Wherever I Go, I Want To Leave",2020-07-10,61,8,0,66,0,10,-6,C Major,4,2oiQVeAF4NRrpjWSnCkheB,UK8E21903402
58,"i'm so tired...","Lauv,Troye Sivan",102,1B,74,2021-07-10,02:42,1,"","~how i'm feeling~",2020-03-06,58,18,0,48,20,20,-8,B Major,4,4vjpLMyL3ZO6aphdYr8XYw,GBKPL1933763
59,"The Tide Is High - Radio Mix","Atomic Kitten",103,9B,69,2021-07-15,03:25,62,"","Atomic Kitten",2003-04-22,78,2,0,64,0,0,-3,G Major,4,5WuVWOngcRkMOx9RRLCvui,GBAAA0200509
60,"Guru","Coast Modern",140,5B,67,2021-07-15,03:24,0,"","Coast Modern",2017-07-28,76,23,0,80,0,0,-6,D#/E♭ Major,4,5M7IGym8CgSVOMNvDAGheL,USLGZ1600014
61,"Special Excess","Noah Chenfeld",123,9B,83,2022-11-28,03:39,0,"","In Bounds",2022-03-10,60,6,64,58,0,10,-7,G Major,4,79tMg9OzlgOI2NBQwWqkhl,QZ93L2114598
62,"Floors","Abhi The Nomad,Foster Cazz",132,10B,86,2021-07-15,03:30,50,"","Where Are My Friends",2015-10-14,61,51,0,32,0,20,-7,D Major,4,5YHMaDiaGGYs5QyJ2CBDXJ,US3DF1540571
63,"Strangers","Mt. Joy",102,9B,64,2021-07-15,03:13,1,"","Rearrange Us",2020-06-05,56,74,2,22,0,0,-8,G Major,4,3wcluZHyfuTzIXHfwXVAIE,USDMG2000613
64,"Buttons","meija",84,3B,61,2021-07-15,03:36,0,"","So Long, Kid",2019-11-08,69,54,0,66,0,10,-7,C♯/D♭ Major,4,1pZ9xYDzyq9KHTVrqBUEsn,GBKPL1951426
65,"Briggs","Mike Mains & The Branches",96,6B,52,2021-07-15,03:14,39,"christian alternative rock","When We Were in Love (Deluxe Edition)",2019-11-15,62,12,0,38,0,10,-8,A#/B♭ Major,4,4PoZ2aNmIz1EEE9W0l0rk0,QMGVJ1900238
66,"Carry Me Away","John Mayer",120,12B,71,2021-07-17,02:39,61,"singer-songwriter","Sob Rock",2021-07-16,68,1,15,74,0,10,-7,E Major,4,4Szq4dulKN9bOvLRW6uMdZ,USSM11905957
67,"Used To","Sandro Cavazza,Lou Elliotte",102,6B,45,2021-07-18,02:54,42,"","Used To",2018-11-09,66,28,0,39,0,0,-8,A#/B♭ Major,4,24qOlCdUSSU6ungmY6fZmi,SEUM71800612
68,"Weekend Friend","Goth Babe",110,3B,59,2021-07-18,03:29,64,"","Weekend Friend",2019-01-19,41,3,4,21,0,0,-10,C♯/D♭ Major,4,2d3QlXE6FXFDeodiS66yjM,TCAEB1915747
69,"lakehouse","Jeremy Zucker",120,10B,29,2021-07-21,03:42,37,"","love is not dying",2020-04-17,63,44,0,65,10,10,-9,D Major,1,72jQMLt6LzfpNv80YjP2CF,USUM72003321
