#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Hey Ya!","Outkast",80,9A,97,2023-11-07,03:55,86,"southern hip hop, hip hop","Speakerboxxx/The Love Below",2003-00-00,73,10,0,97,0,10,-2,E Minor,4,2PpruBYCo4H7WOBJ7Q2EwM,USAR10300924
2,"Танець пінгвіна","Скрябін",119,8A,93,2023-11-07,04:37,0,"","Танець пінгвіна (Перевидання)",1998-01-01,69,5,0,98,0,0,-9,A Minor,4,6PFAiMvAn0JtKieQ4Ha3UC,RUA1D2229012
3,"All Night","mishlawi",142,11B,76,2023-11-07,02:54,47,"portuguese hip-hop","All Night",2018-03-02,76,14,0,78,0,20,-6,A Major,4,4jvhvr8QBAlC85ovP8zTph,PT9GC1800001
4,"Anything You Want","JAWNY",112,11A,78,2023-11-07,02:03,60,"bedroom pop","Anything You Want",2020-02-27,80,14,0,93,0,10,-5,F#/G♭ Minor,4,78LMazmfqncADjyJVae8dN,USUG12000587
5,"Blinding Lights","The Weeknd",171,3B,73,2023-11-07,03:20,90,"","After Hours",2020-03-20,51,0,0,33,0,0,-6,C♯/D♭ Major,4,0VjIjW4GlUZAMYd2vXMi3b,USUG11904206
6,"Canyon Moon","Harry Styles",94,10B,62,2023-11-07,03:09,69,"","Fine Line",2019-12-13,60,33,0,70,0,10,-7,D Major,4,5IhzJOXNE7ki0IIJbZbnGq,USSM11912595
7,"Cheri Cheri Lady","Modern Talking",114,6B,62,2023-11-07,03:46,82,"europop, italo disco, eurodance","Let's Talk About Love",1985-00-00,68,46,1,85,0,30,-14,A#/B♭ Major,4,2aEuA8PSqLa17Y4hKPj5rr,DEC738500001
8,"CITY OF ANGELS","24kGoldn",120,5A,54,2023-11-07,01:52,75,"","DROPPED OUTTA COLLEGE",2019-11-22,69,4,0,72,0,0,-5,C Minor,4,6ap9lSRJ0iLriGLqoJ44cq,USQX91902803
9,"Cold Cold Cold","Cage The Elephant",136,7B,79,2023-11-07,03:34,70,"","Tell Me I'm Pretty",2015-12-18,55,2,0,72,0,0,-6,F Major,4,1Q3t9fWvHUXKsMmpD2XpUu,USRC11502825
10,"Come Together - Remastered 2009","The Beatles",165,8A,38,2023-11-07,04:19,80,"classic rock, psychedelic rock","Abbey Road (Remastered)",1969-09-26,53,3,25,19,0,0,-12,A Minor,4,2EqlS6tkEnglzr7tkKAAYD,GBAYE0601690
11,"Crazy Little Thing Called Love - Remastered 2011","Queen",77,8B,76,2023-11-07,02:43,79,"classic rock, rock, glam rock","The Game (2011 Remaster)",1980-06-27,60,71,0,71,0,30,-7,C Major,4,6xdLJrVj4vIXwhuG8TMopk,GBUM71029612
12,"Dancin (feat. Luvli) - Krono Remix","Aaron Smith,Krono,Luvli",120,3A,74,2023-11-07,03:18,74,"","Dancin (feat. Luvli) [Krono Remix]",2014-11-07,72,10,0,36,0,20,-7,A#/B♭ Minor,4,6WkJ2OK163XXS2oARUC9JM,QMLA71400326
13,"Ego","Willy William",100,4B,66,2023-11-07,03:27,31,"","Une Seule Vie",2016-06-10,73,24,1,57,0,30,-12,G#/A♭ Major,4,4W6Eh6YTMXC94pI0hG9XuL,RUA1D1611088
14,"Everybody Talks","Neon Trees",155,4B,92,2023-11-07,02:57,81,"","Picture Show",2012-01-01,47,0,0,72,0,30,-4,G#/A♭ Major,4,2iUmqdfGZcHIhS3b9E9EWq,USUM71119189
15,"Fallingforyou","The 1975",85,3B,28,2023-11-07,04:00,70,"","The 1975 (Deluxe)",2013-09-02,26,89,0,8,0,30,-15,C♯/D♭ Major,4,7LbUv7w2z7rEbNqp1uIL9U,GBK3W1000187
