#,Song,Artist,BPM,Camelot,Energy,Added at,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,ISRC
1,"Doses & Mimosas","Cherub",115,7B,66,2022-01-23,05:23,72,"","Year of the Caprese",2014-00-00,78,11,0,35,10,0,-7,F Major,4,44CZRkOxv7UItaAUmh8PgN,USSM11306037
2,"Chanel","Frank Ocean",110,5A,50,2022-01-23,03:30,78,"","Chanel",2017-03-10,78,87,0,47,20,10,-6,C Minor,4,6Nle9hKrkL1wQpwNfEkxjh,QZ5C81600019
3,"8TEEN","Khalid",105,3B,59,2022-01-23,03:48,73,"","American Teen",2017-04-27,83,23,0,64,0,0,-6,C♯/D♭ Major,4,5bgwqaRSS3M8WHWruHgSL5,USRC11700146
4,"STARCROSSED","Overpade",95,3B,93,2024-02-19,02:52,26,"hyperpop","STARCROSSED",2023-09-22,59,1,0,74,0,10,-4,C♯/D♭ Major,4,35wWGaFCexpJAglVUgjTcL,QM24S2306474
5,"Take Another Lap","Sunset Avenue",175,3B,87,2024-07-26,02:33,27,"","Take Another Lap",2024-07-25,38,1,0,43,0,10,-5,C♯/D♭ Major,4,5AIzVo1aeyqQLu3auFTzpg,QM6P42476324
6,"When the World is Ending","Divine Sweater",123,10A,54,2023-09-13,03:50,0,"","Down Deep (A Nautical Apocalypse)",2023-05-26,64,1,24,75,0,20,-8,B Minor,4,4JI4ngRRewsdqMn8SiKKQI,QM4TW2333006
7,"Messed Up","Cwby",182,6B,66,2024-04-09,02:48,34,"","Messed Up",2024-04-05,62,9,0,63,0,20,-6,A#/B♭ Major,4,4ytUucoJQwRaIfYMAnQYVQ,USZXT2300157
8,"Mileage","T Duke,Lil Darius",75,9A,34,2024-04-23,02:10,7,"","Mileage",2024-04-18,78,19,0,34,30,0,-11,E Minor,4,3sP07a9EFMuewwcQvUagcZ,QZMEV2476549
9,"Buzzin'","Shwayze,Cisco Adler",93,10B,58,2022-01-23,03:32,62,"","Shwayze",2008-01-01,85,2,0,32,0,0,-8,D Major,4,3wQaW4rEZe7AaDrlrX4eDy,USUM70723966
10,"Ford Whippin","Amrig",160,12B,66,2024-04-05,03:36,9,"","Ford Whippin",2024-03-27,68,38,0,62,20,10,-8,E Major,4,1CDtjeuUDs4xjvHk7DKfYT,QZHN32410154
