#,Song,Artist,BPM,Camelot,Energy,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,Season_Label
178,#thatPOWER,"will.i.am,Justin Bieber",128,11A,61,04:39,70,,#willpower (Deluxe),2013-01-01,80,0,0,40,0,0,,F#/G♭ Minor,4,01TuObJVd7owWchVRuQbQw,summer
15,#voyuitwaaien - SUPER slowed -pitch,latex fruit,139,8B,97,01:54,69,breakcore,#voyuitwaaien Remixes,2025-03-13,63,10,42,37,0,10,,C Major,4,6yV3akSoxxh006bFLHPfVW,winter
85,#Без тебе мене нема,Okean Elzy,106,10A,81,03:54,45,,#Без тебе мене нема,2021-02-12,69,1,0,89,0,40,,B Minor,4,0lDKGWrGcjs4c7HRyGRMIW,autumn
240,#Сумасшедшая,Alexey Vorobyov,120,5A,69,03:00,56,,#Сумасшедшая,2015-07-28,81,34,0,89,0,30,,C Minor,4,7GSfOUIAddQwVt3K6sasyL,autumn
309,#але,Serhii Babkin,79,4A,44,04:22,33,,#неубивай,2016-03-12,71,34,0,55,0,10,,F Minor,4,30yk4ab0E7jsUn0CjmrRl4,autumn
21,'Bout It,JMSN,110,10A,32,06:34,71,,JMSN,2014-12-09,60,27,14,9,0,10,,B Minor,4,3414vfp4uaJNFqFFj9sUvz,spring
181,'Bout It - Instrumental,JMSN,110,10A,20,06:34,57,,'Bout It (Instrumental),2025-03-28,64,20,82,6,0,10,,B Minor,4,1qLGQ06Jjczld4fMwyipAx,summer
78,'Til The World Ends,George Bone,130,9B,39,02:56,3,,'Til The World Ends,2025-08-22,70,69,0,33,0,40,,G Major,3,2FhHsqh154UWCIBPoCUPwv,autumn
64,"'Zat You, Santa Claus? - Single Version","Louis Armstrong,The Commanders",123,4B,55,02:40,49,"jazz, swing music, vocal jazz, big band, christmas",Ella & Louis Christmas,2016-11-25,70,75,0,67,10,20,,G#/A♭ Major,4,0SD2UtunDGrX7OIElVr87B,winter
20,(Don't Fear) The Reaper,Blue Öyster Cult,141,8A,93,05:08,77,"classic rock, hard rock",Agents Of Fortune,1976-00-00,33,0,0,39,0,30,,A Minor,4,5QTxFnGygVM4jFQiBovmRo,winter
33,(Everybody's Waitin' For) The Man With The Bag,Kay Starr,141,9B,36,02:42,51,christmas,A Capitol Christmas,2016-09-23,67,50,0,79,0,10,,G Major,4,7azp0ySqPkkXHi9M9aeg3T,winter
29,(Everything I Do) I Do It For You,Bryan Adams,131,3B,36,06:33,79,,Waking Up The Neighbours,1991-09-24,53,8,0,30,0,0,,C♯/D♭ Major,4,1Eb90nmqTrxylKFhcUzW8P,summer
148,(I Just) Died In Your Arms,Cutting Crew,125,10A,73,04:40,83,,Broadcast,1986-01-01,63,2,0,51,0,0,,B Minor,4,4ByEFOBuLXpCqvO1kw8Wdm,autumn
122,(I Just) Died In Your Arms,"Toby Rose,One Trick Pony,Filip Anthony",125,10A,76,03:11,53,"tropical house, lounge, ",(I Just) Died In Your Arms,2024-11-29,72,5,0,66,0,40,,B Minor,4,0ZQGrvQ40GfRfUplrTK7Qx,winter
88,(I'll Never Be) Maria Magdalena - Single Verison,Sandra,104,10B,56,03:59,63,italo disco,Ten On One,1987-01-01,61,10,2,77,0,30,,D Major,4,7LNP6YNYDeMgBeG4JBfAdq,summer
24,(It Goes Like) Nanana,Peggy Gou,130,6A,88,06:07,67,,(It Goes Like) Nanana,2023-09-29,68,5,60,96,0,0,,G Minor,4,5Hijdt7rmbj9fUJdXEs6Nz,summer
42,(It Goes Like) Nanana - Edit,Peggy Gou,130,6A,88,03:51,76,,(It Goes Like) Nanana [Edit],2023-06-15,67,12,19,96,0,0,,G Minor,4,23RoR84KodL5HWvUTneQ1w,summer
24,(L)MIRL,Deftones,140,7A,76,05:02,65,"nu metal, alternative metal, rap metal, shoegaze, rock",Gore,2016-04-08,31,0,79,9,0,10,,D Minor,4,4hYNZvsCnAOZP0lADhpmgC,autumn
280,(Nice Dream),Radiohead,173,11B,57,03:53,69,"art rock, alternative rock",The Bends,1995-03-13,26,16,26,38,0,20,,A Major,3,1tZcw7GtIqviL32bzaKdSo,autumn
11,(There's No Place Like) Home for the Holidays - 1954 Version,Perry Como,78,8B,19,02:51,44,"christmas, adult standards",Greatest Christmas Songs,1999-08-23,69,90,0,74,0,10,,C Major,4,5mKxNjNnRFpO9Muzw3Ug0u,winter
41,(There's No Place Like) Home for the Holidays - 1959 Version,Perry Como,144,7B,40,02:58,52,"christmas, adult standards",A Perry Como Christmas,2001-05-21,53,87,0,45,0,20,,F Major,4,2GapxG7BxK55ihQRAlR39e,winter
348,(When You Gonna) Give It Up to Me - Radio Version,"Sean Paul,Keyshia Cole",96,4B,76,04:03,91,"dancehall, r&b",(When You Gonna) Give It Up to Me,2006-09-30,71,7,0,72,20,0,,G#/A♭ Major,4,5nEdwtSv0qqeE0l4o1lR4q,summer
95,(You Drive Me) Crazy,Britney Spears,104,5A,94,03:18,70,pop,...Baby One More Time (Digital Deluxe Version),1999-01-12,75,5,0,96,0,30,,C Minor,4,1DSJNBNhGZCigg9ll5VeZv,autumn
73,(dream),salvia palth,147,8B,30,01:24,1,"slowcore, lo-fi indie",melanchole,2014-07-01,33,93,83,17,0,10,,C Major,4,39iczvfNkZstM8KY8dNDFC,winter
64,(forever?????????),glass beach,80,3B,7,01:48,55,,the first glass beach album,2019-05-18,21,98,89,4,0,10,,C♯/D♭ Major,3,0wNOZ8FmGnnNH1YGEWjzLK,spring
12,...Baby One More Time,Britney Spears,93,5A,70,03:31,85,pop,...Baby One More Time (Digital Deluxe Version),1999-01-12,76,20,0,91,0,40,,C Minor,4,3MjUtNVVq3C8Fn0MP3zhXa,summer
13,.Goëtia.,Peter Gundry,120,9A,19,05:30,40,celtic,Goëtia,2018-07-13,44,93,93,4,0,0,,E Minor,4,6isCIMYopGCIwikVz8SLb5,autumn
111,0800 HEAVEN,"Nathan Dawe,Joel Corry,Ella Henderson",140,2B,83,02:39,57,"dance pop, ",0800 HEAVEN,2023-06-09,64,19,0,22,10,30,,F#/G♭ Major,4,2Vewxhl9sD0IhO9Az4qLS5,summer
180,1&Only,XLOV,112,3A,78,02:54,74,k-pop,I ONE,2025-06-13,77,17,0,43,0,30,,A#/B♭ Minor,4,0lOOUAYUITTHYyGWWAqKIr,summer
5,1.13,Schmalgauzen,93,7A,69,03:31,27,,разом : любов,2024-12-31,71,11,0,44,0,10,,D Minor,4,5GOQ3pkwUQOVuKtJPKWgtN,autumn
11,1/1 - Remastered 2004,Brian Eno,83,10B,0,17:21,54,"ambient, krautrock, art rock, minimalism, drone, glam rock, space music",Ambient 1: Music For Airports (Remastered 2004),1978-00-00,26,98,91,4,0,10,-31.0,D Major,4,3bCmDqflFBHijgJfvtqev5,winter
42,10 Summers,Ashley Singh,120,7B,40,02:40,42,,10 Summers,2022-04-01,76,91,0,50,0,20,,F Major,4,4QKiy0xETxTVnf8kNpsreo,autumn
132,10 Years Ago,FKJ,80,7A,22,03:20,0,,Ylang Ylang EP,2019-11-12,54,59,41,23,0,10,,D Minor,4,5csDQh9Vy5P1Pt9bkmKCZs,spring
201,"10,000 Hours (with Justin Bieber)","Dan + Shay,Justin Bieber",90,6B,63,02:47,71,"country, ","10,000 Hours (with Justin Bieber)",2019-10-04,65,15,0,43,0,10,,A#/B♭ Major,4,2wrJq5XKLnmhRXHIAf9xBa,summer
81,100,Dean Blunt,102,3A,81,03:20,73,,BLACK METAL,2014-11-03,61,0,7,48,0,20,,A#/B♭ Minor,4,784VjdNkpXhFV0RHquzsi2,spring
483,100 Bad Days,AJR,144,6B,64,03:30,56,,Neotheater,2019-04-26,63,5,0,64,0,20,,A#/B♭ Major,4,0WmH9fXWCQ51RQi1kWPJrI,summer
82,1000 Blunts,$uicideboy$,133,4A,70,02:55,77,"emo rap, horrorcore, cloud rap, trap metal, underground hip hop","Sing Me a Lullaby, My Sweet Temptation",2022-07-29,83,22,0,60,0,10,,F Minor,4,09riz9pAPJyYYDVynE5xxY,autumn
101,10:35,"Tiësto,Tate McRae",120,4B,79,02:52,73,"edm, trance, big room, house, ",10:35,2022-11-03,70,7,0,70,10,10,,G#/A♭ Major,4,6BePGk3eCan4FqaW2X8Qy3,summer
76,12 to 12,sombr,124,10A,90,04:02,91,,I Barely Know Her,2025-08-22,66,1,0,51,0,10,,B Minor,4,05od2qm2MTSKCHxy1GBp5W,spring
414,1234,"Cristian D,Bilal Wahib,LA$$A",126,8B,61,02:34,0,hollands,1234,2022-03-11,86,3,0,31,10,10,,C Major,4,4abfmTMCQDA1VPamAm3c3j,summer
80,16 Mirrors,Alex G,122,10B,30,01:27,0,,Trick,2012-11-05,56,63,0,5,0,10,,D Major,4,7syaFjOQnrUXPhMcHWJZUl,autumn
38,16 Summer,Cabin17,124,10B,43,03:12,30,,Summer 16,2025-12-06,68,3,0,32,0,40,,D Major,4,5xpPnET8b2Pe9dBEjZo545,summer
107,17,Ferdinand fka Left Boy,129,2B,54,02:44,34,,Ferdinand,2018-04-06,79,26,0,75,10,30,,F#/G♭ Major,4,5slOKKUV6EuZzzhz7yv4pr,winter
294,18,One Direction,124,11A,58,04:08,80,,FOUR (Deluxe),2014-11-17,68,22,0,22,0,10,,F#/G♭ Minor,4,3JjnGLK8IxkNLvo8Lb3KOM,summer
37,1950,King Princess,72,12B,54,03:45,64,,1950,2018-02-23,60,65,0,27,10,10,-7.0,E Major,4,0CZ8lquoTX2Dkg7Ak2inwA,summer
29,1979 - Remastered 2012,The Smashing Pumpkins,127,5B,79,04:26,80,"alternative rock, rock",Mellon Collie And The Infinite Sadness (Deluxe Edition),1995-00-00,77,2,58,96,0,0,-10.0,D#/E♭ Major,4,5QLHGv0DfpeXLNFo7SFEy1,autumn
94,1980s Horror Film,Wallows,119,10B,24,03:44,47,indie,Spring EP,2018-04-06,48,64,0,11,0,10,,D Major,4,3HkrEKcOPMBmUemERvy8pq,autumn
3,1985,Bo Burnham,156,9A,72,02:26,69,comedy,THE INSIDE OUTTAKES,2022-06-02,65,4,0,89,0,30,,E Minor,4,0yNiaePZow0ycdrmLV0J7y,winter
326,1999,"Charli xcx,Troye Sivan",124,9B,74,03:09,60,"hyperpop, art pop, ",1999,2018-10-05,74,2,0,66,0,20,,G Major,4,05mAIVLkIWc2d1UBYZBCp8,winter
