#,Song,Artist,BPM,Camelot,Energy,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (db),Key,Time Signature,Spotify Track Id,Time_Label
166,#19,Aphex Twin,78,3B,12,10:14,54,"idm, ambient",#19,2024-06-18,12,87,90,5,0,10,-23.0,C♯/D♭ Major,4,3zSBsvj6MWavRKfPE51395,night
351,#21,Aphex Twin,73,8A,8,04:15,40,"idm, ambient",Selected Ambient Works Volume II (Expanded Edition),2024-10-04,17,97,89,5,0,0,-22.0,A Minor,3,56wLenDrpunq4jPiMMissg,night
280,#3,Aphex Twin,147,11A,7,07:44,64,"idm, ambient",Selected Ambient Works Volume II,1994-03-07,16,91,86,6,0,10,-27.0,F#/G♭ Minor,5,7glKwbR1DyuIuE6XvZvJbQ,night
66,#doyalike,mikeeysmind,96,10A,54,03:03,2,,#doyalike,2020-01-01,63,14,25,36,0,50,,B Minor,4,4IMP7v2UPYtFqjWucd7Lfw,night
372,$10,Good Morning,121,12B,60,01:29,50,"lo-fi indie, bedroom pop",Prize//Reward,2018-05-11,62,48,20,90,0,10,-10.0,E Major,4,3koAwrM1RO0TGMeQJ3qt9J,morning
26,$106,Oranj Goodman,142,8A,51,03:16,48,,$106,2025-02-11,52,69,0,25,0,0,-8.0,A Minor,4,0dzwSLr6doS6uRPYnsCwj4,afternoon
180,(Got To) Move On - S-Tone Inc Extended Remix,"S-Tone Inc,Afra Kane",110,7B,85,04:09,34,"nu jazz, acid jazz, lounge, bossa nova, vocal jazz",(Got To) Move On Remix,2022-03-04,75,6,58,97,0,0,,F Major,4,2rpaNOpwFxh8TeJW03WRLo,evening
188,(Got To) Move On - S-Tone Inc Remix,"S-Tone Inc,Afra Kane",110,7B,89,03:33,20,"nu jazz, acid jazz, lounge, bossa nova, vocal jazz",Body & Soul (The Disco Experience),2022-05-06,68,5,54,95,0,0,,F Major,4,4jd5Hpe0EQHywl8ge4AFV9,evening
25,(I Left My Heart) In San Francisco,Tony Bennett,128,8B,8,02:57,58,"vocal jazz, christmas, big band, adult standards, jazz",I Left My Heart In San Francisco,1962-06-18,31,96,0,13,0,10,-18.0,C Major,4,1bYItjcPRtxZs6Ir71O5RB,afternoon
42,(It Goes Like) Nanana - Edit,Peggy Gou,130,6A,88,03:51,76,,(It Goes Like) Nanana [Edit],2023-06-15,67,12,19,96,0,0,,G Minor,4,23RoR84KodL5HWvUTneQ1w,evening
